nm,%T
1099.990234,93.00476837
1095.013672,90.92097473
1089.98877,92.32514191
1085.004395,89.49012756
1080.001465,93.04331207
1075.01001,92.47582245
1070.000732,88.2755661
1065.003662,88.63690186
1059.988525,88.46452332
1054.986572,86.10510254
1049.997559,86.87695313
1044.991699,85.90798187
1039.999512,87.47392273
1034.990723,86.19690704
1029.996094,88.62078857
1024.985352,88.25645447
1019.989441,88.40919495
1015.008789,88.36813354
1010.012451,89.15195465
1005.000671,90.25618744
1000.004761,89.74720001
994.9935913,90.98775482
989.9989624,92.03094482
984.989502,91.86773682
979.9969482,91.64595795
974.9899902,91.41129303
970.0004883,91.08596802
964.9968262,90.88336945
960.0111694,90.7070694
955.0116577,90.42609406
949.9984131,89.51095581
945.0037231,88.22799683
939.9957275,85.77470398
935.0067749,82.43791199
930.0047607,80.99156952
924.989563,81.2674408
919.9942627,82.54243469
914.986084,83.9723587
909.9984131,86.433815
904.9981689,87.81941223
899.9854736,88.75191498
894.9936523,88.73558044
889.9897461,89.36338806
885.0074463,89.53113556
880.0131836,89.1272049
875.0070801,89.19743347
869.9893799,89.82199097
864.9938354,90.73568726
859.9867554,91.7795639
855.0025024,91.36885834
850.006958,91.54014587
845.0003662,91.31985474
840.0169678,91.47664642
834.9884644,91.60449982
829.9835815,91.37032318
825.0021973,91.17144012
820.0105591,91.2258606
815.0085449,91.4573822
809.9960327,91.1104126
805.0081177,91.63835907
800.0100708,91.59272003
795.0020142,91.48231506
789.9840698,91.43341064
784.9911499,91.5398407
779.9886475,91.49839783
775.0115967,91.25885773
769.9899292,90.95590973
764.9940796,90.66305542
759.9888916,90.61933899
755.0098267,90.71390533
749.9862671,90.82676697
744.9891357,90.89615631
739.9830933,91.24830627
735.0037231,91.32389069
730.0157471,91.18819427
724.9834595,90.9716568
720.0139771,90.81155396
715.0002441,90.65353394
710.0140991,90.67734528
704.9835815,90.8944397
700.0169067,90.89007568
695.0060425,90.52373505
689.9871216,90.6373291
684.9963989,90.83572388
679.9977417,90.36656952
674.991333,90.68632507
670.0135498,90.50111389
664.9917603,90.09757996
659.9988403,89.92715454
654.9984131,90.17469788
649.9906006,89.89512634
645.012146,89.89187622
639.9898071,89.93242645
634.9968262,89.66829681
629.9968872,89.88741302
624.9899292,89.58881378
620.0129395,89.43589783
614.9920654,89.42269897
610.0014648,89.44480133
605.0041504,89.42765045
600.0001221,88.96270752
594.989563,89.16929626
590.0097046,89.03358459
584.986145,88.76925659
579.9934692,88.51815033
574.9945679,88.67839813
569.9893799,88.57275391
565.0155029,88.10245514
559.9981079,88.14743042
555.012207,87.62505341
549.9827881,87.6770401
544.9851074,87.85583496
539.9815063,87.24449921
535.0098877,86.93115997
529.9949951,86.67524719
525.012085,86.62939453
519.9859619,85.92273712
514.9921875,85.29341888
509.9929199,85.20986938
504.9883118,84.67700958
500.016449,83.50556183
495.0013428,82.29349518
489.9810486,81.7011261
484.9937134,80.60041046
480.0012817,79.09576416
475.0040283,77.92595673
470.0018005,75.92412567
464.9946899,74.47891998
459.9828491,72.81430054
455.0045166,71.03313446
449.9832153,69.29290771
444.995636,67.11868286
440.00354,65.25169373
435.006958,63.04564667
430.006012,61.12013626
425.0005798,58.99998093
419.9908752,55.98433685
415.0155029,52.99993134
409.9972839,50.1648674
405.0136108,47.16138077
399.9872131,43.65008926
