nm, %T
1100.000000, 89.818265
1099.000000, 89.874350
1098.000000, 89.853387
1097.000000, 89.758243
1096.000000, 90.041873
1095.000000, 89.815689
1094.000000, 90.003428
1093.000000, 89.945057
1092.000000, 90.006025
1091.000000, 89.886229
1090.000000, 89.980470
1089.000000, 89.893197
1088.000000, 89.954480
1087.000000, 89.795176
1086.000000, 89.838767
1085.000000, 89.725081
1084.000000, 89.712255
1083.000000, 89.615449
1082.000000, 89.693272
1081.000000, 89.568768
1080.000000, 89.609444
1079.000000, 89.464332
1078.000000, 89.422267
1077.000000, 89.436422
1076.000000, 89.312636
1075.000000, 89.277137
1074.000000, 89.326176
1073.000000, 89.175815
1072.000000, 89.194250
1071.000000, 89.070249
1070.000000, 89.002454
1069.000000, 88.943658
1068.000000, 88.991427
1067.000000, 88.856653
1066.000000, 88.820580
1065.000000, 88.690018
1064.000000, 88.585962
1063.000000, 88.529843
1062.000000, 88.407501
1061.000000, 88.351424
1060.000000, 88.263580
1059.000000, 88.099571
1058.000000, 87.967642
1057.000000, 87.827750
1056.000000, 87.725136
1055.000000, 87.606442
1054.000000, 87.495060
1053.000000, 87.291015
1052.000000, 87.254525
1051.000000, 87.115111
1050.000000, 86.990679
1049.000000, 86.914412
1048.000000, 86.836364
1047.000000, 86.745761
1046.000000, 86.577767
1045.000000, 86.514835
1044.000000, 86.387706
1043.000000, 86.289184
1042.000000, 86.203925
1041.000000, 86.094014
1040.000000, 86.026817
1039.000000, 85.997011
1038.000000, 85.954899
1037.000000, 85.986680
1036.000000, 85.972283
1035.000000, 86.015952
1034.000000, 86.048586
1033.000000, 86.104460
1032.000000, 86.119576
1031.000000, 86.257555
1030.000000, 86.248912
1029.000000, 86.413562
1028.000000, 86.416466
1027.000000, 86.570334
1026.000000, 86.552656
1025.000000, 86.694763
1024.000000, 86.692342
1023.000000, 86.806612
1022.000000, 86.772892
1021.000000, 86.889114
1020.000000, 86.803164
1019.000000, 86.937007
1018.000000, 86.928523
1017.000000, 87.096474
1016.000000, 87.154503
1015.000000, 87.309624
1014.000000, 87.372997
1013.000000, 87.561701
1012.000000, 87.601395
1011.000000, 87.809309
1010.000000, 87.903833
1009.000000, 88.074161
1008.000000, 88.132534
1007.000000, 88.319497
1006.000000, 88.370751
1005.000000, 88.604006
1004.000000, 88.644511
1003.000000, 88.857867
1002.000000, 88.929498
1001.000000, 89.065154
1000.000000, 89.144168
999.000000, 89.313833
998.000000, 89.390963
997.000000, 89.578598
996.000000, 89.610630
995.000000, 89.826397
994.000000, 89.894644
993.000000, 90.071490
