nm,%T
1100.00708,75.1713562
1099.00769,76.22999573
1098.007568,75.89389801
1097.006714,76.15769196
1096.005005,76.694664
1095.002686,74.75479889
1093.999512,75.05298615
1092.995605,76.86963654
1091.990845,75.72254181
1090.985352,75.82553864
1090.008789,75.38230896
1089.001831,76.60457611
1087.994263,74.99572754
1086.985718,75.6457901
1086.006226,75.02502441
1084.996094,75.22109985
1083.985474,75.67134857
1083.003784,76.09104919
1081.991455,74.96836853
1081.008423,74.57058716
1079.994751,75.57891846
1079.010132,74.80622864
1077.994995,74.0292511
1077.009033,75.69833374
1075.99231,75.01023102
1075.005005,74.58084869
1073.986694,74.66253662
1072.997925,75.74765778
1072.008301,74.80657196
1070.988037,74.28910065
1069.996948,74.07228088
1069.005371,74.74948883
1068.012939,74.38899994
1066.989624,75.13424683
1065.99585,74.52005005
1065.001221,74.83742523
1064.005981,73.9876709
1063.01001,74.17147827
1062.013428,74.21800232
1060.98584,74.14774323
1059.987793,73.36006165
1058.989014,73.6811676
1057.989624,73.07312775
1056.989502,73.28623199
1055.98877,73.52500153
1054.987183,73.21773529
1053.984985,73.64367676
1053.012451,72.85749817
1052.008911,73.30680847
1051.004761,72.87484741
1049.999634,73.18991089
1048.994141,73.02435303
1047.987793,72.87239075
1047.01123,73.10337067
1046.003662,72.80467987
1044.995239,72.53488159
1043.986206,72.65354156
1043.00708,72.8525238
1041.996704,72.63908386
1040.985596,72.52227783
1040.004517,72.26288605
1038.991943,72.45076752
1038.009644,72.37825012
1036.99585,72.55743408
1036.012207,72.6747818
1034.99707,72.61512756
1034.012207,73.16386414
1032.995728,72.85995483
1032.009277,72.3046875
1030.991577,72.91117096
1030.004028,73.07252502
1028.984863,73.08508301
1027.996094,72.96447754
1027.00647,73.08043671
1025.985474,73.32256317
1024.994751,73.17203522
1024.003174,73.16969299
1023.01123,73.44837189
1021.987549,73.38301849
1020.99408,73.33088684
1020.000183,73.40963745
1019.005615,73.42740631
1018.010376,73.45445251
1017.014526,73.74449158
1015.986938,73.64969635
1014.989807,73.77451324
1013.992065,73.85630035
1012.993774,73.9669342
1011.99469,74.30352783
1010.995178,73.99110413
1009.994873,74.14925385
1008.994019,74.09889984
1007.992432,74.38047028
1006.990417,74.32876587
1005.98761,74.39360809
1004.984314,74.52859497
1004.011719,74.64591217
1003.007263,74.73587036
1002.001953,75.0482254
1000.996216,74.99923706
999.9896851,75.06910706
999.0140991,75.39017487
998.0065918,75.58652496
996.99823,75.65374756
995.9894409,75.88899994
995.0114746,75.76973724
994.0014038,75.9874649
992.9907837,76.1712265
992.0109863,76.34177399
990.9990845,76.11488342
989.9865723,76.03672028
989.005188,76.33029175
987.9914551,76.28303528
987.0088501,76.34726715
985.9940796,76.28088379
985.0102539,76.06518555
983.9940186,76.12062836
983.0091553,76.03594208
981.9918823,76.12636566
981.0057373,76.19342041
979.9872437,76.12161255
979.000061,76.40736389
978.0122681,76.33622742
976.9921265,76.20848083
976.0031128,76.14705658
975.0134888,76.35211182
973.9915161,76.38202667
973.0009155,76.28156281
972.0096436,76.13476563
970.9857788,76.1360321
969.9934692,76.22419739
969.0006104,76.19326019
968.0070801,76.19789886
967.0130005,76.09060669
965.9862671,75.92714691
964.9910889,76.05426025
963.9953613,75.888237
962.9990234,75.91941833
962.0022583,75.87006378
961.0047607,75.86326599
960.0067749,75.80274963
959.0083618,75.68971252
958.0092163,75.63683319
957.0095825,75.56998444
956.0093994,75.38452911
955.0085449,75.32072449
954.0072632,75.20049286
953.0055542,75.15383148
952.0031128,74.93254852
951.0001831,74.75593567
949.996582,74.54633331
948.9925537,74.24733734
947.987915,73.92988586
947.0151978,73.59416199
946.0094604,73.48171997
945.0032959,73.1641922
943.996582,72.74286652
942.9892578,72.29323578
942.013855,71.75933075
941.0054932,71.29995728
939.996582,70.64933777
938.9871216,70.11248016
938.0096436,69.54080963
936.9990845,68.97984314
935.9879761,68.38513947
935.0089722,67.86223602
933.9967651,67.42763519
932.9840698,67.05745697
932.00354,66.87985229
930.9898071,66.63356781
930.0083008,66.51032257
928.9933472,66.46676636
928.0108032,66.5491333
926.9949341,66.54264832
926.0112915,66.68041992
924.9943237,66.87754822
924.0097656,66.94174194
922.9916992,67.2052002
922.0061646,67.37963867
920.9870605,67.57211304
920.0004272,67.74026489
919.0133057,67.94922638
917.9926147,68.15519714
917.0043945,68.42396545
916.0157471,68.6328125
914.9936523,68.60818481
914.0038452,68.63819122
913.0136719,68.936203
911.9899292,69.1550827
910.9987793,69.35071564
910.0070801,69.6609726
909.0149536,69.92442322
907.9891968,70.15319824
906.9959717,70.34706116
906.0022583,70.53810883
905.0081787,70.71479797
904.0134888,70.72008514
902.9851685,70.70401001
901.989563,70.78093719
900.9934082,70.82948303
899.9968262,70.87384033
898.9996338,70.94649506
898.0020752,70.9832077
897.0039673,71.06129456
896.0054321,71.12468719
895.0064087,71.28379822
894.0067749,71.37482452
893.0067749,71.4256897
892.0062866,71.56134033
891.0053101,71.70765686
890.0039063,71.85100555
889.00177,71.94408417
887.9993286,72.02561188
886.9963989,72.07165527
885.993042,72.17950439
884.9892578,72.2283783
883.9848022,72.36052704
883.0134277,72.58021545
882.0082397,72.76325989
881.0023804,72.79092407
879.9960938,72.81806946
878.9893188,72.85339355
878.0157471,72.90627289
877.0079956,72.97366333
875.9998779,73.01667023
874.991333,73.12329102
874.0157471,73.1998291
873.0062866,73.3168335
871.9962769,73.32172394
870.9858398,73.41648102
870.0084839,73.47714996
868.9970703,73.50541687
867.9851685,73.62760925
867.0065308,73.64255524
865.9936523,73.68476868
865.0142212,73.62421417
864.0004272,73.6073761
862.9862061,73.55941772
862.0053711,73.54620361
860.9902344,73.57064819
860.0084839,73.49533844
858.9924927,73.45500183
858.0098267,73.45045471
856.9928589,73.40604401
856.0094604,73.30426025
854.991394,73.32121277
854.0071411,73.34700012
852.9883423,73.36569214
852.0030518,73.35054016
850.9833984,73.19726563
849.9971313,73.25615692
849.0106201,73.23023987
847.9894409,73.13634491
847.0020752,73.14634705
846.0142822,73.1307373
844.9918823,73.07784271
844.0030518,73.02485657
843.013855,73.00952911
841.9901123,72.9776001
841.0001221,72.98432922
840.0095825,72.9979248
838.9844971,72.88157654
837.9931641,72.82893372
837.0013428,72.80443573
836.0093384,72.86328125
835.0166016,72.89439392
833.9893799,72.83779907
832.9959106,72.80567932
832.0019531,72.70491028
831.0076294,72.73469543
830.0128784,72.73733521
828.9834595,72.66927338
827.987915,72.71611023
826.9918823,72.72331238
825.9953613,72.65696716
824.9985352,72.60070038
824.0012207,72.61506653
823.0036621,72.7820282
822.0056152,72.63891602
821.0070801,72.57758331
820.0081177,72.5246048
819.008728,72.4575119
818.0089722,72.39509583
817.0087891,72.37986755
816.0082397,72.38805389
815.0072632,72.40494537
814.0057983,72.35777283
813.0039673,72.34832001
812.00177,72.23756409
810.9991455,72.23252106
809.9960327,72.20009613
808.9924927,72.17057037
807.9887085,72.15940857
806.984436,72.06790924
806.0143433,72.03005981
805.0092163,71.86929321
804.0037842,71.93350983
802.9979248,71.93010712
801.9915161,71.85253143
800.9848633,71.80348969
800.0124512,71.81797028
799.0050049,71.89614105
797.9970093,71.83198547
796.9887085,71.94654083
796.0147705,71.9130249
795.0056763,71.91234589
793.9960938,71.93621063
792.986145,72.0032959
792.0107422,72.00757599
791,72.02849579
789.9888916,72.05970001
789.0122681,72.09915924
788.0003052,72.14447021
786.9880371,72.06826019
786.0102539,72.1275177
784.9971924,72.0896759
