nm,%T
1100,72.01865395
1099,72.10576686
1098,72.00240453
1097,72.02794097
1096,71.99958613
1095,71.94522912
1094,71.83812689
1093,71.76125082
1092,71.72094447
1091,71.63973983
1090,71.54709418
1089,71.44584877
1088,71.34031129
1087,71.31945241
1086,71.13985899
1085,71.09695487
1084,70.97052207
1083,70.94242014
1082,70.81772972
1081,70.66217484
1080,70.48813175
1079,70.394544
1078,70.17557826
1077,70.06497962
1076,69.90946845
1075,69.77325761
1074,69.68126078
1073,69.63170028
1072,69.51731663
1071,69.50435221
1070,69.51907742
1069,69.48163029
1068,69.49635068
1067,69.51523576
1066,69.41878369
1065,69.40280127
1064,69.18469011
1063,69.14885608
1062,68.9653588
1061,68.89171559
1060,68.68691327
1059,68.55955657
1058,68.36896415
1057,68.25052556
1056,68.03540901
1055,67.9793488
1054,67.83299614
1053,67.79708166
1052,67.72203502
1051,67.73685054
1050,67.68680271
1049,67.66498658
1048,67.57063496
1047,67.51371406
1046,67.42283348
1045,67.38961884
1044,67.37317279
1043,67.32804437
1042,67.35766133
1041,67.34634022
1040,67.32695918
1039,67.26962397
1038,67.16298659
1037,67.02379273
1036,66.92108907
1035,66.7550307
1034,66.54953113
1033,66.45398055
1032,66.32511322
1031,66.24559421
1030,66.17196022
1029,66.0693448
1028,66.0693448
1027,66.02356945
1026,66.03542845
1025,65.98238356
1024,65.99286756
1023,66.00350521
1022,66.0553503
1021,66.05626289
1020,66.11028052
1019,66.13250904
1018,66.18536984
1017,66.20914811
1016,66.22607247
1015,66.23247741
1014,66.26680013
1013,66.26847858
1012,66.2974768
1011,66.28465497
1010,66.29472906
1009,66.2835866
1008,66.30801087
1007,66.36391524
1006,66.52425199
1005,66.64399145
1004,66.84039381
1003,66.9819829
1002,67.18386738
1001,67.33331555
1000,67.51542409
999,67.61094405
998,67.78240905
997,67.89878454
996,68.1084505
995,68.21423295
994,68.36959385
993,68.46711053
992,68.62652368
991,68.76429583
990,68.98441726
989,69.1821413
988,69.43892679
987,69.68799988
986,69.95197811
985,70.16846887
984,70.41594305
983,70.57615594
982,70.75253421
981,70.89016709
980,71.10546813
979,71.24395161
978,71.40802146
977,71.50493233
976,71.62308115
975,71.75150254
974,71.904985
973,72.0518274
972,72.22889985
971,72.31510148
970,72.52287294
969,72.67750338
968,72.85108093
967,72.93920073
966,73.13478685
965,73.2465207
964,73.39035695
963,73.49892718
962,73.6876998
961,73.7931416
960,73.95695128
959,74.11327418
958,74.3359678
957,74.54370939
956,74.81815597
955,75.09862751
954,75.38969738
953,75.6341621
952,75.82178423
951,75.91262338
950,76.00952176
949,76.00497141
948,76.01284718
947,75.95283694
946,75.91576976
945,75.84203893
944,75.75791263
943,75.6374711
942,75.54835284
941,75.45152118
940,75.34856749
939,75.19517943
