nm,%T
1100.00708,81.59658813
1099.00769,82.64662933
1098.007568,83.23060608
1097.006714,81.76094818
1096.005005,82.23617554
1095.002686,83.34317017
1093.999512,82.09667969
1092.995605,82.62128448
1091.990845,82.22779846
1090.985352,82.81770325
1090.008789,83.50001526
1089.001831,83.08834076
1087.994263,81.9281311
1086.985718,83.66355896
1086.006226,81.78731537
1084.996094,82.01055145
1083.985474,81.57562256
1083.003784,81.96985626
1081.991455,82.52479553
1081.008423,83.47367859
1079.994751,81.34463501
1079.010132,81.41118622
1077.994995,81.983284
1077.009033,82.11332703
1075.99231,81.8942337
1075.005005,81.14303589
1073.986694,82.0976181
1072.997925,82.3937149
1072.008301,81.21086121
1070.988037,81.03882599
1069.996948,82.25843811
1069.005371,82.25099182
1068.012939,82.18717957
1066.989624,81.04437256
1065.99585,81.52696228
1065.001221,81.3400116
1064.005981,80.68301392
1063.01001,80.92419434
1062.013428,79.99060822
1060.98584,80.57347107
1059.987793,80.99938965
1058.989014,80.82906342
1057.989624,80.66676331
1056.989502,80.35630798
1055.98877,80.6832428
1054.987183,80.46208954
1053.984985,80.2325592
1053.012451,80.32810211
1052.008911,80.20650482
1051.004761,79.86195374
1049.999634,80.3117981
1048.994141,79.71824646
1047.987793,79.66981506
1047.01123,79.84056091
1046.003662,79.94213104
1044.995239,79.62297821
1043.986206,79.72242737
1043.00708,79.32523346
1041.996704,79.51193237
1040.985596,79.57604218
1040.004517,79.6367569
1038.991943,79.6593399
1038.009644,79.8813858
1036.99585,79.60506439
1036.012207,79.63541412
1034.99707,79.81794739
1034.012207,79.72296143
1032.995728,79.79484558
1032.009277,79.86395264
1030.991577,79.62139893
1030.004028,80.34473419
1028.984863,80.56573486
1027.996094,80.28253174
1027.00647,80.5663681
1025.985474,80.46865845
1024.994751,80.62404633
1024.003174,80.80282593
1023.01123,80.73297882
1021.987549,80.63505554
1020.99408,80.82183838
1020.000183,80.833992
1019.005615,81.13432312
1018.010376,81.24848938
1017.014526,81.22657776
1015.986938,81.32118225
1014.989807,81.21087646
1013.992065,81.614151
1012.993774,81.70520782
1011.99469,81.82659912
1010.995178,81.90113068
1009.994873,82.1160965
1008.994019,82.02706909
1007.992432,82.44420624
1006.990417,82.52026367
1005.98761,82.43630219
1004.984314,82.55845642
1004.011719,82.69445038
1003.007263,82.99077606
1002.001953,83.17263794
1000.996216,83.2948761
999.9896851,83.04584503
999.0140991,83.32099915
998.0065918,83.56309509
996.99823,83.54741669
995.9894409,83.65717316
995.0114746,83.834198
994.0014038,83.92895508
992.9907837,84.08363342
992.0109863,84.43315125
990.9990845,84.21776581
989.9865723,84.25180817
989.005188,84.31182861
987.9914551,84.51232147
987.0088501,84.57549286
985.9940796,84.53912354
985.0102539,84.59049225
983.9940186,84.62697601
983.0091553,84.57002258
981.9918823,84.50492096
981.0057373,84.84811401
979.9872437,84.81468201
979.000061,84.95220184
978.0122681,84.77685547
976.9921265,84.77139282
976.0031128,84.73484039
975.0134888,84.83860779
973.9915161,84.80290985
973.0009155,84.91880035
972.0096436,84.78095245
970.9857788,84.82569122
969.9934692,84.84776306
969.0006104,84.84683228
968.0070801,84.86300659
967.0130005,84.80268097
965.9862671,84.71253967
964.9910889,84.66081238
963.9953613,84.56813049
962.9990234,84.57800293
962.0022583,84.62641144
961.0047607,84.5531311
960.0067749,84.52487946
959.0083618,84.44168091
958.0092163,84.32254028
957.0095825,84.26789093
956.0093994,84.14832306
955.0085449,84.0918808
954.0072632,83.95674896
953.0055542,83.90348053
952.0031128,83.72972107
951.0001831,83.59164429
949.996582,83.45619965
948.9925537,83.18955231
947.987915,82.91840363
947.0151978,82.66760254
946.0094604,82.45031738
945.0032959,82.1450119
943.996582,81.69330597
942.9892578,81.19943237
942.013855,80.76279449
941.0054932,80.23370361
939.996582,79.67004395
938.9871216,78.96957397
938.0096436,78.44389343
936.9990845,77.80758667
935.9879761,77.21335602
935.0089722,76.66785431
933.9967651,76.20430756
932.9840698,75.68668365
932.00354,75.39936829
930.9898071,75.169487
930.0083008,75.05709076
928.9933472,74.94255829
928.0108032,74.89233398
926.9949341,75.1706543
926.0112915,75.19325256
924.9943237,75.20037842
924.0097656,75.4122467
922.9916992,75.63510895
922.0061646,75.75266266
920.9870605,76.00326538
920.0004272,76.14404297
919.0133057,76.34809875
917.9926147,76.56720734
917.0043945,76.97042084
916.0157471,77.18391418
914.9936523,77.13497162
914.0038452,77.3405304
913.0136719,77.46699524
911.9899292,77.79386902
910.9987793,78.05028534
910.0070801,78.39542389
909.0149536,78.66493225
907.9891968,78.94946289
906.9959717,79.09541321
906.0022583,79.3376236
905.0081787,79.58309937
904.0134888,79.73123169
902.9851685,79.57688141
901.989563,79.6769104
900.9934082,79.76152802
899.9968262,79.72050476
898.9996338,79.76599884
898.0020752,79.73993683
897.0039673,79.83544922
896.0054321,79.9901123
895.0064087,80.068367
894.0067749,80.13574219
893.0067749,80.21315765
892.0062866,80.32691193
891.0053101,80.54824829
890.0039063,80.74840546
889.00177,80.93849182
887.9993286,81.20792389
886.9963989,81.43141937
885.993042,81.67159271
884.9892578,81.82624054
883.9848022,82.08594513
883.0134277,82.38169861
882.0082397,82.63175201
881.0023804,82.64212036
879.9960938,82.66990662
878.9893188,82.76065063
878.0157471,82.9131546
877.0079956,82.93001556
875.9998779,82.97951508
874.991333,83.10055542
874.0157471,83.21838379
873.0062866,83.28133392
871.9962769,83.24420166
870.9858398,83.268013
870.0084839,83.39570618
868.9970703,83.43009186
867.9851685,83.45491028
867.0065308,83.46686554
865.9936523,83.54421997
865.0142212,83.56938934
864.0004272,83.58740997
862.9862061,83.60800934
862.0053711,83.57296753
860.9902344,83.6526413
860.0084839,83.53748322
858.9924927,83.60398865
858.0098267,83.54602051
856.9928589,83.61686707
856.0094604,83.5674057
854.991394,83.62631226
854.0071411,83.63076782
852.9883423,83.57350159
852.0030518,83.67204285
850.9833984,83.68016052
849.9971313,83.63342285
849.0106201,83.56460571
847.9894409,83.61652374
847.0020752,83.53973389
846.0142822,83.56645203
844.9918823,83.53712463
844.0030518,83.60049438
843.013855,83.49656677
841.9901123,83.60184479
841.0001221,83.50415802
840.0095825,83.53069305
838.9844971,83.41770935
837.9931641,83.43048859
837.0013428,83.46073151
836.0093384,83.48708344
835.0166016,83.51668549
833.9893799,83.54998016
832.9959106,83.42157745
832.0019531,83.40655518
831.0076294,83.36914063
830.0128784,83.35855103
828.9834595,83.36457062
827.987915,83.48789215
826.9918823,83.42510223
825.9953613,83.39758301
824.9985352,83.35948944
824.0012207,83.45124054
823.0036621,83.78269196
822.0056152,83.57950592
821.0070801,83.49514771
820.0081177,83.46781921
819.008728,83.41340637
818.0089722,83.50613403
