nm,%T
1100.00708,82.35951996
1099.00769,81.70400238
1098.007568,81.80045319
1097.006714,81.39335632
1096.005005,82.57411194
1095.002686,81.01390839
1093.999512,82.53458405
1092.995605,82.19248199
1091.990845,82.31240845
1090.985352,82.1186676
1090.008789,82.07975006
1089.001831,82.022995
1087.994263,81.90923309
1086.985718,80.52009583
1086.006226,81.42107391
1084.996094,81.14530182
1083.985474,82.2726059
1083.003784,81.99620056
1081.991455,81.69262695
1081.008423,82.15660095
1079.994751,81.9633255
1079.010132,81.64386749
1077.994995,81.69254303
1077.009033,81.8718338
1075.99231,81.65921021
1075.005005,81.59931946
1073.986694,81.26646423
1072.997925,82.41257477
1072.008301,80.56438446
1070.988037,80.71682739
1069.996948,81.30221558
1069.005371,81.65846252
1068.012939,81.27336121
1066.989624,81.15122223
1065.99585,81.03107452
1065.001221,80.72201538
1064.005981,81.47106171
1063.01001,81.18979645
1062.013428,80.9033432
1060.98584,80.90219116
1059.987793,81.06887817
1058.989014,79.84358215
1057.989624,80.45533752
1056.989502,80.95126343
1055.98877,80.5193634
1054.987183,80.15877533
1053.984985,80.33616638
1053.012451,80.195755
1052.008911,80.02119446
1051.004761,80.09192657
1049.999634,79.96396637
1048.994141,79.89260864
1047.987793,80.13726807
1047.01123,79.9980545
1046.003662,79.91136932
1044.995239,79.37453461
1043.986206,79.28897858
1043.00708,79.67679596
1041.996704,79.60721588
1040.985596,79.49404144
1040.004517,79.63681793
1038.991943,79.54759216
1038.009644,79.34700012
1036.99585,79.35416412
1036.012207,79.54388428
1034.99707,79.57072449
1034.012207,79.39149475
1032.995728,79.77188873
1032.009277,79.63037109
1030.991577,79.75101471
1030.004028,80.02282715
1028.984863,79.98292542
1027.996094,80.04833221
1027.00647,80.05063629
1025.985474,80.37034607
1024.994751,80.35267639
1024.003174,80.4885788
1023.01123,80.46829224
1021.987549,80.38597107
1020.99408,80.73080444
1020.000183,80.59233856
1019.005615,80.35334015
1018.010376,80.58702087
1017.014526,80.79007721
1015.986938,81.05212402
1014.989807,80.95077515
1013.992065,81.23194122
1012.993774,81.35747528
1011.99469,81.62339783
1010.995178,81.57700348
1009.994873,81.61737061
1008.994019,81.67253876
1007.992432,81.99071503
1006.990417,82.08463287
1005.98761,82.23368835
1004.984314,82.36357117
1004.011719,82.45739746
1003.007263,82.40157318
1002.001953,82.64585876
1000.996216,82.84209442
999.9896851,82.82655334
999.0140991,82.7868042
998.0065918,83.12338257
996.99823,83.24208069
995.9894409,83.17616272
995.0114746,83.23471832
994.0014038,83.44351196
992.9907837,83.71276855
992.0109863,83.96063232
990.9990845,83.69898987
989.9865723,83.85322571
989.005188,83.84093475
987.9914551,84.04385376
987.0088501,84.11897278
985.9940796,84.2045517
985.0102539,84.03366852
983.9940186,84.00067902
983.0091553,84.11100769
981.9918823,84.21736145
981.0057373,84.33473969
979.9872437,84.31390381
979.000061,84.4838028
978.0122681,84.41899872
976.9921265,84.35391235
976.0031128,84.26065826
975.0134888,84.3853302
973.9915161,84.39472198
973.0009155,84.38542175
972.0096436,84.43027496
970.9857788,84.46901703
969.9934692,84.3560791
969.0006104,84.51960754
968.0070801,84.50489044
967.0130005,84.48326874
965.9862671,84.38600922
964.9910889,84.22467804
963.9953613,84.27693176
962.9990234,84.28916168
962.0022583,84.34124756
961.0047607,84.33772278
960.0067749,84.33787537
959.0083618,84.12394714
958.0092163,84.15070343
957.0095825,83.95765686
956.0093994,83.86400604
955.0085449,83.70334625
954.0072632,83.76876831
953.0055542,83.63266754
952.0031128,83.59606934
951.0001831,83.42340851
949.996582,83.23213196
948.9925537,83.09033203
947.987915,82.7736969
947.0151978,82.54194641
946.0094604,82.32532501
945.0032959,82.11637878
943.996582,81.82318878
942.9892578,81.23522186
942.013855,80.96491241
941.0054932,80.54973602
939.996582,80.04454041
938.9871216,79.55438995
938.0096436,79.09699249
936.9990845,78.50279999
935.9879761,77.88732147
935.0089722,77.50063324
933.9967651,77.02602386
932.9840698,76.64413452
932.00354,76.40737152
930.9898071,76.21043396
930.0083008,76.00537872
928.9933472,75.90930939
928.0108032,75.747612
926.9949341,75.77089691
926.0112915,75.89455414
924.9943237,75.8633194
924.0097656,75.87982178
922.9916992,76.04376221
922.0061646,76.12989807
920.9870605,76.30241394
920.0004272,76.50214386
919.0133057,76.53068542
917.9926147,76.73517609
917.0043945,77.07437897
916.0157471,77.19036102
914.9936523,77.12409973
914.0038452,77.15531158
913.0136719,77.30177307
911.9899292,77.55058289
910.9987793,77.8320694
910.0070801,78.07244873
909.0149536,78.24084473
907.9891968,78.54621124
906.9959717,78.79329681
906.0022583,79.02648163
905.0081787,79.20362091
904.0134888,79.24115753
902.9851685,79.14360809
901.989563,79.16133881
900.9934082,79.22781372
899.9968262,79.13572693
898.9996338,79.14571381
898.0020752,79.1676178
897.0039673,79.21803284
896.0054321,79.12164307
895.0064087,79.22232819
894.0067749,79.1867981
893.0067749,79.14715576
892.0062866,79.28221893
891.0053101,79.39971924
890.0039063,79.6421814
889.00177,79.86040497
887.9993286,80.07850647
886.9963989,80.46075439
885.993042,80.69704437
884.9892578,80.83908844
883.9848022,81.20418549
883.0134277,81.51767731
882.0082397,81.83946228
881.0023804,81.85565948
879.9960938,81.99813843
878.9893188,82.11077881
878.0157471,82.18845367
877.0079956,82.33382416
875.9998779,82.40194702
874.991333,82.52725983
874.0157471,82.60617065
873.0062866,82.67758179
871.9962769,82.63742065
870.9858398,82.79000854
870.0084839,82.86267853
868.9970703,82.9473114
867.9851685,82.80971527
867.0065308,82.92557526
865.9936523,83.05580139
865.0142212,82.94065857
864.0004272,82.9397583
862.9862061,83.05350494
862.0053711,83.10179138
860.9902344,83.13375854
860.0084839,83.18893433
858.9924927,83.15703583
858.0098267,83.1696701
856.9928589,83.13224792
856.0094604,83.15170288
854.991394,83.14536285
854.0071411,83.18147278
852.9883423,83.09709167
852.0030518,83.00783539
850.9833984,83.05403137
849.9971313,83.08492279
849.0106201,83.11369324
847.9894409,82.94472504
847.0020752,83.11377716
846.0142822,83.05760956
844.9918823,83.05210876
844.0030518,83.07942963
843.013855,83.00955963
841.9901123,83.01145935
841.0001221,83.06224823
840.0095825,82.96393585
838.9844971,82.95043945
837.9931641,82.97473907
837.0013428,82.92575836
836.0093384,82.98219299
835.0166016,83.01903534
833.9893799,83.04701996
832.9959106,82.85725403
832.0019531,82.8735733
831.0076294,82.83140564
830.0128784,82.79986572
828.9834595,82.81458282
827.987915,83.02355194
826.9918823,82.91067505
825.9953613,82.8274765
824.9985352,82.81451416
824.0012207,82.91381836
823.0036621,83.12742615
822.0056152,82.95578003
821.0070801,82.86907196
820.0081177,82.85709381
819.008728,82.85907745
818.0089722,82.91630554
817.0087891,82.82220459
816.0082397,82.7980423
815.0072632,82.90924072
814.0057983,82.9666214
813.0039673,82.89374542
812.00177,82.97380829
810.9991455,82.87225342
809.9960327,83.0425415
808.9924927,83.00244141
807.9887085,83.02573395
806.984436,82.94445801
806.0143433,82.99358368
805.0092163,83.0046463
804.0037842,82.96092224
802.9979248,83.00041962
801.9915161,83.04401398
800.9848633,83.01934814
800.0124512,83.12428284
799.0050049,83.13050842
797.9970093,83.12098694
796.9887085,83.12153625
796.0147705,83.14727783
795.0056763,83.18606567
793.9960938,83.21434021
792.986145,83.19041443
792.0107422,83.17188263
791,83.14884186
789.9888916,83.26873779
789.0122681,83.25241852
788.0003052,83.20359802
786.9880371,83.20544434
786.0102539,83.23496246
784.9971924,83.23827362
783.9837036,83.24806213
783.0048828,83.23202515
781.9905396,83.30371857
781.0108643,83.26689911
779.9958496,83.32115173
779.0154419,83.3886261
777.9996948,83.31708527
776.9834595,83.3812027
776.0018921,83.34247589
774.9849243,83.27242279
774.0026245,83.23822784
772.9848633,83.23318481
772.0018921,83.27780151
770.9833984,83.22641754
769.9995728,83.13043213
769.0155029,83.13446808
767.9957886,83.1078186
767.0109253,83.13536835
765.9905396,83.15379333
765.0049438,83.06450653
763.9837646,83.13011169
762.9974365,83.07566833
762.0106812,83.01052094
760.9883423,83.0710144
760.0009766,83.07897186
