nm,%T
1100,88.568237
1099,88.6063812
1098,88.6088296
1097,88.6410721
1096,88.6343369
1095,88.5623231
1094,88.4917941
1093,88.4581801
1092,88.4477929
1091,88.511561
1090,88.4148063
1089,88.477532
1088,88.3220214
1087,88.4150099
1086,88.2827799
1085,88.234616
1084,88.1797778
1083,88.2021152
1082,88.0742594
1081,88.0193182
1080,87.9660316
1079,87.9520568
1078,87.8496428
1077,87.8039391
1076,87.7578551
1075,87.7352262
1074,87.6203533
1073,87.6038111
1072,87.5098622
1071,87.5132878
1070,87.4588978
1069,87.3771751
1068,87.3089972
1067,87.3357391
1066,87.1944816
1065,87.1228352
1064,86.9755132
1063,86.9933389
1062,86.8198438
1061,86.7852662
1060,86.6315331
1059,86.5735049
1058,86.4597549
1057,86.3586809
1056,86.1459768
1055,86.1449851
1054,85.9712022
1053,85.912825
1052,85.7616247
1051,85.6872095
1050,85.5923598
1049,85.5450728
1048,85.3837058
1047,85.3196372
1046,85.2108701
1045,85.1332082
1044,85.0231126
1043,84.949925
1042,84.9135504
1041,84.8131122
1040,84.7976858
1039,84.817604
1038,84.7980763
1037,84.7752345
1036,84.8369409
1035,84.8771913
1034,84.8744553
1033,84.9798578
1032,85.0391675
1031,85.1257595
1030,85.2075347
1029,85.270341
1028,85.4285431
1027,85.4649416
1026,85.5827032
1025,85.5982725
1024,85.6844474
1023,85.7406951
1022,85.8021163
1021,85.757083
1020,85.8422317
1019,85.8829592
1018,85.9628885
1017,86.0191209
1016,86.1465719
1015,86.2591154
1014,86.3899057
1013,86.5179061
1012,86.6550745
1011,86.7568949
1010,86.9480807
1009,87.0624732
1008,87.2117498
1007,87.2987449
1006,87.4768226
1005,87.5852553
1004,87.732196
1003,87.8312371
1002,87.9816292
1001,88.0519544
1000,88.1511536
999,88.1799808
998,88.2781046
997,88.3409367
996,88.488534
995,88.5272554
994,88.6329083
993,88.6833316
992,88.7758829
991,88.8331372
990,88.9100798
989,88.9217498
988,89.0141399
987,89.0288985
986,89.0947267
985,89.102933
984,89.1844216
983,89.1712799
982,89.2014677
981,89.1718958
980,89.2207768
979,89.1593718
978,89.2027
977,89.1729225
976,89.1667628
975,89.1708692
974,89.1431548
973,89.1335082
972,89.1833948
971,89.0697021
970,89.0994452
969,89.0383288
968,89.0592431
967,88.962914
966,88.9942608
965,88.8963644
964,88.923183
963,88.8609598
962,88.8173886
961,88.7697507
960,88.761575
959,88.6643429
958,88.6404598
957,88.5637505
956,88.4915903
955,88.3637219
954,88.2585931
953,88.1604909
952,88.0079693
951,87.8308327
950,87.6580893
949,87.4586964
948,87.226812
947,86.9604944
946,86.6884025
945,86.3632545
944,86.0292229
943,85.595119
942,85.1836019
941,84.6993349
940,84.1788523
939,83.6151552
938,82.9984534
937,82.3891458
936,81.8359258
935,81.2474988
934,80.7283359
933,80.2832601
932,79.932059
931,79.6637966
930,79.4580678
929,79.3713926
