nm,%T
1100,88.9399744
1099,88.9422271
1098,88.9420223
1097,88.9762299
1096,88.9653722
1095,88.898616
1094,88.8047099
1093,88.8544126
1092,88.8128895
1091,88.8345691
1090,88.8173886
1089,88.8173886
1088,88.7017116
1087,88.7266328
1086,88.6074014
1085,88.5906728
1084,88.515841
1083,88.5292938
1082,88.4671426
1081,88.4264113
1080,88.3427675
1079,88.3511079
1078,88.2027244
1077,88.1759201
1076,88.1020472
1075,88.1235532
1074,87.9982428
1073,88.0031059
1072,87.9131821
1071,87.8708849
1070,87.8737176
1069,87.7889794
1068,87.6857458
1067,87.6958415
1066,87.5975581
1065,87.550776
1064,87.3934733
1063,87.3500182
1062,87.2378593
1061,87.1575472
1060,87.0153758
1059,86.9342677
1058,86.8228425
1057,86.7081659
1056,86.5579575
1055,86.4912154
1054,86.320908
1053,86.2857344
1052,86.1201941
1051,86.074201
1050,85.9601174
1049,85.9161881
1048,85.7292452
1047,85.6398701
1046,85.5722596
1045,85.5163193
1044,85.418315
1043,85.3149224
1042,85.2933162
1041,85.2040032
1040,85.2145981
1039,85.1834058
1038,85.1735993
1037,85.1408536
1036,85.1908595
1035,85.2554203
1034,85.262684
1033,85.3151188
1032,85.361296
1031,85.4460518
1030,85.512775
1029,85.5620143
1028,85.6885907
1027,85.7564906
1026,85.8451967
1025,85.856069
1024,85.9474508
1023,85.9650658
1022,86.0207055
1021,85.9820905
1020,86.0379393
1019,86.0763812
1018,86.1449851
1017,86.2128496
1016,86.3348224
1015,86.4770767
1014,86.579286
1013,86.7093639
1012,86.8314393
1011,86.93687
1010,87.1192243
1009,87.2364532
1008,87.3626904
1007,87.4560785
1006,87.6364951
1005,87.7427012
1004,87.9101457
1003,88.0041191
1002,88.1412083
1001,88.2069895
1000,88.2921312
999,88.3531423
998,88.4331307
997,88.5050395
996,88.6618931
995,88.6968099
994,88.7995981
993,88.8580953
992,88.9493953
991,89.0100408
990,89.1074468
989,89.1281721
988,89.2160518
987,89.2388572
986,89.3040182
985,89.3050463
984,89.3760177
983,89.3768409
982,89.4120392
981,89.3778699
980,89.3926887
979,89.3889838
978,89.4128628
977,89.3764293
976,89.3926887
975,89.4011283
974,89.3828092
973,89.3502969
972,89.3863081
971,89.2890084
970,89.3124494
969,89.2614629
968,89.276468
967,89.1926362
966,89.2070135
965,89.1353553
964,89.1380235
963,89.0873417
962,89.0809828
961,89.0282835
960,89.0151648
959,88.9194975
958,88.8683261
957,88.7758829
956,88.729493
955,88.623725
954,88.5099306
953,88.3960787
952,88.2718035
951,88.1059017
950,87.9512467
949,87.7055346
948,87.5159074
947,87.2836703
946,86.9895331
945,86.6911971
944,86.4000512
943,85.9981285
942,85.6357292
941,85.1592837
940,84.6488378
939,84.1209173
938,83.5681908
937,83.0076273
936,82.4861436
935,81.9300085
934,81.4411692
933,81.0326422
932,80.6612597
931,80.4298021
930,80.2232034
929,80.1141077
928,80.0753785
927,80.0995359
926,80.19827
925,80.3222749
924,80.4575863
923,80.6551308
922,80.8362205
921,81.0591415
920,81.2972771
919,81.5254116
918,81.699425
917,81.9447246
916,82.1147169
915,82.3332009
914,82.5632918
913,82.8005078
912,83.0955946
911,83.3852048
910,83.7560138
909,84.056635
908,84.4485117
907,84.6544905
906,84.9647923
905,85.1281117
904,85.3884244
903,85.4303135
902,85.655647
901,85.6394757
900,85.8163423
899,85.7944116
898,85.8954185
897,85.8661518
896,85.9494298
895,85.9822885
894,86.0896615
893,86.1451834
892,86.3185229
891,86.3962714
890,86.5950366
889,86.7475065
888,86.9719084
887,87.1372801
886,87.3397612
885,87.4796426
884,87.6750455
883,87.8162727
882,87.9524618
881,88.0858197
880,88.2315685
879,88.3287328
878,88.4345561
877,88.5437681
876,88.6069933
875,88.6964014
874,88.7601444
873,88.814321
872,88.8509345
871,88.9342404
870,88.9635286
869,88.9877037
868,89.0344335
867,89.0606786
866,89.0891879
865,89.1023175
864,89.1507498
863,89.1762078
862,89.1692266
861,89.1846269
860,89.2129705
859,89.2135867
858,89.2458438
857,89.2287892
856,89.2368024
855,89.2450218
854,89.2183116
853,89.2275565
852,89.2195442
851,89.2039324
850,89.1996191
849,89.1926362
848,89.2004407
847,89.1729225
846,89.152392
845,89.1562924
844,89.1423338
843,89.1287878
842,89.1045744
841,89.0801624
840,89.1094986
839,89.0614989
838,89.0614989
837,89.0434544
836,89.020289
835,88.9834009
834,89.0012282
833,88.9866792
832,88.9877037
831,88.9596366
830,88.9389504
829,88.9358786
828,88.9412031
827,88.9229783
826,88.9246163
825,88.9323974
824,88.9375169
823,88.9489857
822,88.9643479
821,88.9356739
820,88.9637334
819,88.9534917
818,88.9887282
817,88.9567689
816,88.9809422
815,88.9784836
814,88.9915969
813,88.9973346
812,88.9983592
811,89.01373
810,88.9874988
809,89.0028677
808,89.0073764
807,89.0200841
806,89.0213139
805,89.0370987
804,89.0200841
803,89.0375087
802,89.0252086
801,89.0288985
800,89.0428393
799,89.0483753
798,89.0409941
797,89.0535015
796,89.0508358
795,89.0346386
794,89.0327935
793,89.0268485
792,89.0317685
791,89.0266435
790,89.0391489
789,89.0084012
788,89.0252086
787,88.9922116
786,88.9954903
785,88.9790982
784,88.9657819
783,88.9354691
782,88.9389504
781,88.9119223
780,88.9061901
779,88.8511391
778,88.8597322
777,88.8376374
776,88.8274101
775,88.7685243
774,88.7215254
773,88.6927253
772,88.6702637
771,88.6147466
770,88.5592643
769,88.4793656
768,88.4111419
767,88.3374788
766,88.2789177
765,88.2108486
764,88.148109
763,88.0906876
762,88.0629034
761,88.039385
760,88.0253985
759,88.0172915
758,88.0481023
757,88.0367497
756,88.0582398
755,88.0661478
754,88.076693
753,88.0945416
752,88.0969758
751,88.1186835
750,88.131873
749,88.1286262
748,88.1341053
747,88.158867
746,88.1747019
745,88.2013028
744,88.2299433
743,88.2531062
742,88.2795275
741,88.3041267
740,88.3083967
739,88.3305633
738,88.3212079
737,88.3405299
736,88.3372754
735,88.3356482
734,88.3346312
733,88.3297497
732,88.3118535
731,88.3238517
730,88.3238517
729,88.3254787
728,88.3395128
727,88.3372754
726,88.3531423
725,88.3679947
724,88.3734887
723,88.3926186
722,88.3783726
721,88.3977071
720,88.3861058
719,88.4084955
718,88.3824426
717,88.4058492
716,88.421932
715,88.388141
714,88.3838672
713,88.3848848
712,88.3846812
711,88.3547699
710,88.3901763
709,88.3413436
708,88.3690121
707,88.3700295
706,88.349277
705,88.3435811
704,88.3301565
703,88.3183608
702,88.30677
701,88.3142937
700,88.291318
699,88.2866423
698,88.2949775
697,88.2606253
696,88.2585931
