nm,%T
1100,82.13381582
1099,82.17864952
1098,82.20382007
1097,82.18867896
1096,82.20779508
1095,82.06783942
1094,82.10299503
1093,82.04516637
1092,81.99738455
1091,81.98379164
1090,81.90058427
1089,81.9426491
1088,81.9166154
1087,81.83969459
1086,81.80973766
1085,81.74552738
1084,81.73047068
1083,81.65090449
1082,81.58400101
1081,81.5255993
1080,81.48562482
1079,81.41229545
1078,81.35495328
1077,81.30083387
1076,81.27275841
1075,81.20803464
1074,81.13495507
1073,81.08471601
1072,81.01678406
1071,80.9394036
1070,80.94257195
1069,80.84906467
1068,80.78542238
1067,80.73484206
1066,80.66887493
1065,80.56214111
1064,80.46518238
1063,80.39684386
1062,80.29749555
1061,80.19457682
1060,80.11189411
1059,80.01621424
1058,79.90850397
1057,79.77852454
1056,79.646189
1055,79.6012706
1054,79.45861668
1053,79.35914862
1052,79.21838786
1051,79.13798716
1050,79.04110444
1049,78.95888374
1048,78.84043285
1047,78.72687268
1046,78.60786483
1045,78.50982332
1044,78.40991806
1043,78.30851711
1042,78.26489375
1041,78.16961986
1040,78.14856361
1039,78.15954095
1038,78.15756132
1037,78.12085719
1036,78.14442502
1035,78.2049063
1034,78.21138921
1033,78.27750958
1032,78.30923836
1031,78.37002765
1030,78.42959999
1029,78.4870489
1028,78.58343345
1027,78.6422626
1026,78.74264521
1025,78.76313609
1024,78.82246276
1023,78.89454939
1022,78.8852852
1021,78.9058132
1020,78.93161702
1019,78.9752483
1018,79.00071101
1017,79.0740531
1016,79.12577923
1015,79.25268781
1014,79.35987955
1013,79.50418684
1012,79.6267518
1011,79.73279713
1010,79.87483978
1009,79.9939238
1008,80.0906835
1007,80.22117153
1006,80.36723003
1005,80.47555862
1004,80.61020025
1003,80.73186773
1002,80.83435922
1001,80.94033546
1000,80.98955263
999,81.04738372
998,81.1004007
997,81.17531826
996,81.27388124
995,81.36038593
994,81.40723422
993,81.48074665
992,81.55132094
991,81.62458759
990,81.69340539
989,81.71635755
988,81.75286852
987,81.79730593
986,81.84289818
985,81.87399838
984,81.90888235
983,81.96340652
982,81.95868846
981,81.93981895
980,81.92416055
979,81.93415894
978,81.93849824
977,81.95982077
976,81.95397067
975,81.96812484
974,81.91454061
973,81.91604954
972,81.91057979
971,81.83234565
970,81.83498365
969,81.79787096
968,81.76736451
967,81.71014854
966,81.66180969
965,81.63548928
964,81.60241279
963,81.54437342
962,81.50983237
961,81.44529487
960,81.40479744
959,81.31843277
958,81.2665831
957,81.18802934
956,81.09367832
955,81.01566478
954,80.90865842
953,80.82170351
952,80.70120138
951,80.5300558
950,80.39295643
949,80.2087965
948,80.0001866
947,79.77080964
946,79.51810101
945,79.21765823
944,78.88219738
943,78.47692906
942,78.07338332
941,77.58504208
940,77.03551673
939,76.47297752
938,75.88902969
937,75.27382759
936,74.68579358
935,74.13477947
934,73.64037646
933,73.20234606
932,72.88061017
931,72.64002751
930,72.47930162
929,72.37907024
928,72.3695713
927,72.41524427
926,72.52587882
925,72.66060339
924,72.79943353
923,72.97767113
922,73.19105378
921,73.3528513
920,73.56021671
919,73.7365816
918,73.92204963
917,74.1073016
916,74.25453795
915,74.40926248
914,74.58216739
913,74.7992081
912,75.03553787
911,75.32150689
910,75.66203189
909,75.97522589
908,76.32239674
907,76.56583092
906,76.83356775
905,77.06798426
904,77.2767769
903,77.46758191
902,77.63525789
901,77.81458399
900,78.02450103
899,78.15900104
898,78.34675259
897,78.47674836
896,78.62451871
895,78.7564261
894,78.87547724
893,79.02672783
892,79.16842408
891,79.28298629
890,79.41032986
889,79.55033264
888,79.64967352
887,79.76217719
886,79.82648382
885,79.90776799
884,79.9585666
883,80.02063622
882,80.10968056
881,80.15728522
880,80.24814461
879,80.2965711
878,80.36278889
877,80.43146887
876,80.46203272
875,80.48334167
874,80.53394986
873,80.56937598
872,80.56900495
871,80.61131393
870,80.62059518
869,80.64008929
868,80.66404566
867,80.65141661
866,80.68503654
865,80.66980367
864,80.68094939
863,80.70175884
862,80.70082974
861,80.69228244
860,80.69841411
859,80.66590304
858,80.66163113
857,80.627464
856,80.6755621
855,80.64157475
854,80.61595442
853,80.59368248
852,80.56881943
851,80.56399614
850,80.55119728
849,80.52690359
848,80.50688072
847,80.48538021
846,80.464256
845,80.44591579
844,80.40517472
843,80.40165714
842,80.37592796
841,80.33485238
840,80.31321289
839,80.28326014
838,80.26034089
837,80.24574253
836,80.19660805
835,80.16134584
834,80.1648529
833,80.14252106
832,80.11761271
831,80.09935151
830,80.063579
829,80.04938506
828,80.04090676
827,80.03703653
826,80.00037081
825,80.00092344
824,79.99779194
823,80.00773946
822,79.97274443
821,79.96593139
820,79.99926557
819,79.9764274
818,79.97918973
817,79.93850097
816,79.9683251
815,79.946048
814,79.93721253
813,79.93003442
812,79.92616956
811,79.94236644
810,79.90703202
809,79.89764894
808,79.90979196
807,79.88992253
806,79.89967265
805,79.89433753
804,79.8838523
803,79.8606793
802,79.86932241
801,79.84505052
800,79.86141485
799,79.84376358
798,79.8209698
797,79.81435347
796,79.80865651
795,79.77264646
794,79.72618811
793,79.73169559
792,79.70507963
791,79.68360978
790,79.686362
789,79.66636468
788,79.65370843
787,79.64637239
786,79.61171874
785,79.60365338
784,79.56370528
783,79.54941679
782,79.5415409
781,79.54099145
780,79.50986206
779,79.48606545
778,79.44690809
777,79.42130156
776,79.39533765
775,79.34288721
774,79.25925758
773,79.22185367
772,79.18227949
771,79.11976707
770,79.03764654
769,78.96542916
768,78.89345943
767,78.77619501
766,78.69878002
765,78.62705331
764,78.58090026
763,78.48578385
762,78.44242299
761,78.42851645
760,78.41569573
759,78.3961978
758,78.39818348
757,78.38229946
756,78.38645065
755,78.38969957
754,78.38590918
753,78.36696
752,78.37544145
751,78.37832896
750,78.36822314
749,78.36443379
748,78.35523185
747,78.37363681
746,78.36479467
745,78.3925876
744,78.38681164
743,78.38338236
742,78.42418245
741,78.43574032
740,78.42544651
739,78.43808822
738,78.42671059
737,78.45145452
736,78.43917189
735,78.43881066
734,78.42905822
733,78.41876529
732,78.42508535
731,78.42436303
730,78.40648777
729,78.39908608
728,78.39764192
727,78.37688519
726,78.37237358
725,78.35902075
724,78.34314467
723,78.32907537
722,78.31356601
721,78.30022319
720,78.28345774
719,78.25786582
718,78.23822698
717,78.24255071
716,78.2193135
715,78.19248222
714,78.1717798
713,78.13596857
712,78.13362971
711,78.10143258
710,78.09298078
709,78.06169911
708,78.05217327
707,78.04408621
706,78.01354266
705,77.97995855
