nm, %T
1100.000000, 87.321093
1099.000000, 87.416346
1098.000000, 87.518171
1097.000000, 87.581286
1096.000000, 87.686377
1095.000000, 87.610592
1094.000000, 87.708673
1093.000000, 87.641383
1092.000000, 87.610629
1091.000000, 87.546453
1090.000000, 87.607779
1089.000000, 87.630387
1088.000000, 87.510133
1087.000000, 87.468581
1086.000000, 87.491949
1085.000000, 87.361216
1084.000000, 87.319055
1083.000000, 87.204471
1082.000000, 87.194545
1081.000000, 87.119127
1080.000000, 87.149618
1079.000000, 86.919520
1078.000000, 86.859417
1077.000000, 86.793708
1076.000000, 86.691482
1075.000000, 86.599021
1074.000000, 86.607784
1073.000000, 86.433383
1072.000000, 86.418957
1071.000000, 86.210195
1070.000000, 86.167027
1069.000000, 86.101579
1068.000000, 86.055391
1067.000000, 85.877398
1066.000000, 85.800774
1065.000000, 85.615783
1064.000000, 85.519472
1063.000000, 85.423277
1062.000000, 85.345725
1061.000000, 85.191853
1060.000000, 85.116105
1059.000000, 84.850218
1058.000000, 84.727681
1057.000000, 84.550766
1056.000000, 84.450522
1055.000000, 84.265796
1054.000000, 84.139265
1053.000000, 83.898420
1052.000000, 83.828009
1051.000000, 83.646302
1050.000000, 83.528177
1049.000000, 83.393607
1048.000000, 83.268571
1047.000000, 83.088846
1046.000000, 82.959455
1045.000000, 82.785515
1044.000000, 82.668466
1043.000000, 82.496367
1042.000000, 82.446267
1041.000000, 82.312890
1040.000000, 82.248122
1039.000000, 82.156126
1038.000000, 82.153568
1037.000000, 82.084985
1036.000000, 82.109292
1035.000000, 82.049846
1034.000000, 82.097587
1033.000000, 82.027841
1032.000000, 82.057342
1031.000000, 82.063803
1030.000000, 82.110738
1029.000000, 82.119617
1028.000000, 82.161059
1027.000000, 82.172157
1026.000000, 82.194433
1025.000000, 82.200661
1024.000000, 82.212629
1023.000000, 82.168328
1022.000000, 82.164511
1021.000000, 82.145888
1020.000000, 82.074350
1019.000000, 82.071091
1018.000000, 82.038348
1017.000000, 82.042774
1016.000000, 82.074994
1015.000000, 82.103077
1014.000000, 82.140055
1013.000000, 82.204300
1012.000000, 82.234927
1011.000000, 82.325615
1010.000000, 82.383532
1009.000000, 82.439850
1008.000000, 82.491673
1007.000000, 82.533904
1006.000000, 82.591172
1005.000000, 82.660646
1004.000000, 82.685017
1003.000000, 82.736133
1002.000000, 82.742042
1001.000000, 82.767992
1000.000000, 82.729031
999.000000, 82.749606
998.000000, 82.721484
997.000000, 82.716024
996.000000, 82.694659
995.000000, 82.712687
994.000000, 82.661423
993.000000, 82.696495
992.000000, 82.652663
991.000000, 82.638326
990.000000, 82.570435
989.000000, 82.555719
988.000000, 82.450063
987.000000, 82.439149
986.000000, 82.363726
985.000000, 82.357822
984.000000, 82.218584
983.000000, 82.162522
982.000000, 82.060671
981.000000, 81.983804
980.000000, 81.848347
979.000000, 81.837681
978.000000, 81.682607
977.000000, 81.623487
976.000000, 81.445813
975.000000, 81.255800
974.000000, 80.917633
973.000000, 80.556603
972.000000, 80.407070
971.000000, 80.543254
970.000000, 80.673705
969.000000, 80.833384
968.000000, 80.852967
967.000000, 80.895234
966.000000, 80.794494
965.000000, 80.767123
964.000000, 80.637506
963.000000, 80.577721
962.000000, 80.470579
961.000000, 80.362152
960.000000, 80.238102
959.000000, 80.115545
958.000000, 79.901753
957.000000, 79.795877
956.000000, 79.612611
955.000000, 79.451419
954.000000, 79.215489
953.000000, 79.037427
952.000000, 78.802651
951.000000, 78.578116
950.000000, 78.329980
949.000000, 78.079850
948.000000, 77.780569
947.000000, 77.450764
946.000000, 77.080721
945.000000, 76.721364
944.000000, 76.266875
943.000000, 75.849989
942.000000, 75.270709
941.000000, 74.745841
940.000000, 74.122483
939.000000, 73.553011
938.000000, 72.882706
937.000000, 72.277760
936.000000, 71.609121
935.000000, 71.014306
934.000000, 70.446729
933.000000, 69.957039
932.000000, 69.526730
931.000000, 69.215802
930.000000, 68.909893
929.000000, 68.711820
928.000000, 68.575198
927.000000, 68.497970
926.000000, 68.460383
925.000000, 68.494199
924.000000, 68.513002
923.000000, 68.571457
922.000000, 68.630000
921.000000, 68.685508
920.000000, 68.733848
919.000000, 68.787433
918.000000, 68.887872
917.000000, 68.957940
916.000000, 69.010075
915.000000, 69.058479
914.000000, 69.118346
913.000000, 69.220705
912.000000, 69.327149
911.000000, 69.487604
910.000000, 69.603528
909.000000, 69.794528
908.000000, 69.880159
907.000000, 70.002611
906.000000, 70.088699
905.000000, 70.181020
904.000000, 70.182272
903.000000, 70.186029
902.000000, 70.128979
901.000000, 70.130537
900.000000, 70.017131
899.000000, 69.974323
898.000000, 69.837057
897.000000, 69.788646
896.000000, 69.644779
895.000000, 69.588730
894.000000, 69.459816
893.000000, 69.408438
892.000000, 69.292586
891.000000, 69.261430
890.000000, 69.204667
889.000000, 69.179655
888.000000, 69.140462
887.000000, 69.151711
886.000000, 69.066828
885.000000, 69.061204
884.000000, 68.981964
883.000000, 68.915341
882.000000, 68.825749
881.000000, 68.736448
880.000000, 68.638674
879.000000, 68.556446
878.000000, 68.458687
877.000000, 68.315114
876.000000, 68.180278
875.000000, 68.056308
874.000000, 67.887833
873.000000, 67.753028
872.000000, 67.610828
871.000000, 67.448479
870.000000, 67.265331
869.000000, 67.112982
868.000000, 66.927921
867.000000, 66.762878
866.000000, 66.582062
865.000000, 66.399869
864.000000, 66.217267
863.000000, 66.016678
862.000000, 65.830640
861.000000, 65.629434
860.000000, 65.437090
859.000000, 65.244831
858.000000, 65.026564
857.000000, 64.805816
856.000000, 64.591581
855.000000, 64.361895
854.000000, 64.149014
853.000000, 63.893743
852.000000, 63.677327
851.000000, 63.435556
850.000000, 63.183093
849.000000, 62.948203
848.000000, 62.705969
847.000000, 62.462600
846.000000, 62.215067
845.000000, 61.954286
844.000000, 61.686834
843.000000, 61.438251
842.000000, 61.223713
841.000000, 60.973754
840.000000, 60.724883
839.000000, 60.477123
838.000000, 60.225544
837.000000, 59.974139
836.000000, 59.713085
835.000000, 59.458535
834.000000, 59.182316
833.000000, 58.922361
832.000000, 58.656277
831.000000, 58.412698
830.000000, 58.123313
829.000000, 57.857428
828.000000, 57.600639
827.000000, 57.355904
826.000000, 57.089889
825.000000, 56.829656
824.000000, 56.555016
823.000000, 56.286138
822.000000, 56.018527
821.000000, 55.725401
820.000000, 55.456500
819.000000, 55.173693
818.000000, 54.882889
817.000000, 54.601104
816.000000, 54.323938
815.000000, 54.051454
814.000000, 53.761720
813.000000, 53.471282
812.000000, 53.188934
811.000000, 52.893831
810.000000, 52.591971
