nm,%T
1100,88.11564001
1099,88.1550102
1098,88.18444785
1097,88.1878998
1096,88.1919611
1095,88.1381641
1094,88.11320532
1093,88.09291884
1092,88.09291884
1091,88.06594506
1090,87.91297967
1089,87.99682445
1088,87.93686931
1087,87.95509459
1086,87.91378938
1085,87.84842913
1084,87.79100082
1083,87.77563904
1082,87.69261077
1081,87.68857247
1080,87.6203533
1079,87.59473438
1078,87.51772102
1077,87.43835932
1076,87.43453406
1075,87.36932893
1074,87.26618693
1073,87.23725668
1072,87.20251288
1071,87.11982613
1070,87.12444007
1069,87.06046852
1068,87.00295432
1067,86.95989366
1066,86.89164116
1065,86.78366758
1064,86.69818385
1063,86.68580768
1062,86.58905501
1061,86.46194481
1060,86.41338147
1059,86.28533707
1058,86.18843601
1057,86.05101553
1056,85.96090913
1055,85.86358158
1054,85.77406646
1053,85.60615674
1052,85.53345203
1051,85.44900303
1050,85.3424291
1049,85.30097594
1048,85.17732561
1047,85.08656671
1046,84.97163991
1045,84.92450027
1044,84.82385383
1043,84.70928187
1042,84.72235125
1041,84.63577981
1040,84.61980106
1039,84.62545174
1038,84.59642298
1037,84.58629448
1036,84.63577981
1035,84.67008583
1034,84.65604986
1033,84.74537387
1032,84.77679618
1031,84.86527053
1030,84.92410918
1029,85.00510341
1028,85.09342416
1027,85.18595568
1026,85.25188688
1025,85.27917691
1024,85.34301862
1023,85.38468882
1022,85.41457809
1021,85.40454829
1020,85.47123908
1019,85.52458983
1018,85.57876208
1017,85.68168526
1016,85.7298374
1015,85.88038842
1014,85.97575534
1013,86.14161307
1012,86.24541177
1011,86.36882275
1010,86.51113303
1009,86.64928831
1008,86.73192788
1007,86.89424218
1006,87.02739822
1005,87.1713958
1004,87.29432276
1003,87.43735266
1002,87.52961133
1001,87.64517247
1000,87.70169762
999,87.77220323
998,87.84903596
997,87.9542845
996,88.0655395
995,88.1527774
994,88.20739573
993,88.31002343
992,88.36128032
991,88.45166247
990,88.52501316
989,88.59536465
988,88.65985159
987,88.72295542
986,88.74563474
985,88.78998855
984,88.82209246
983,88.88019525
982,88.89493158
981,88.84316056
980,88.88510709
979,88.88326512
978,88.88776778
977,88.88653976
976,88.85298041
975,88.88387911
974,88.85809535
973,88.84131946
972,88.83968296
971,88.82229698
970,88.80879962
969,88.80655026
968,88.80839065
967,88.74931302
966,88.73214904
965,88.70109885
964,88.67700159
963,88.67393884
962,88.6235209
961,88.61189006
960,88.56273092
959,88.47366129
958,88.45736535
957,88.38264614
956,88.31165018
955,88.21348909
954,88.11807477
953,88.01263024
952,87.89577504
951,87.71987416
950,87.58626362
949,87.3779799
948,87.20773361
947,86.95809159
946,86.71395605
945,86.42611676
944,86.11166767
943,85.73832603
942,85.34419769
941,84.90338394
940,84.42984656
939,83.92164729
938,83.35871285
937,82.83674017
936,82.33225301
935,81.8074772
934,81.33734647
933,80.89878517
932,80.57958011
931,80.29952939
930,80.12314723
929,79.99723934
928,79.9486252
927,79.95911893
926,80.0381423
925,80.12739062
924,80.27845395
923,80.42924649
922,80.61595442
921,80.80663091
920,81.01473206
919,81.20373402
918,81.42110649
917,81.60786197
916,81.78205138
915,81.99190936
914,82.22445432
913,82.46772233
912,82.75266712
911,83.06938592
910,83.41208939
909,83.72651217
908,84.06631291
907,84.33833054
906,84.56273094
905,84.80842541
904,84.99766593
903,85.12771966
902,85.24599809
901,85.32199469
900,85.40828474
899,85.45490584
898,85.49466206
897,85.50430868
896,85.55492206
895,85.57935324
894,85.61857592
893,85.72312605
892,85.83037302
891,85.93696266
890,86.09679799
889,86.29507291
888,86.50754752
887,86.69798422
886,86.88383857
885,87.10257617
884,87.27543056
883,87.44017135
882,87.60905584
881,87.73825649
880,87.90366851
879,88.02195294
878,88.14526748
877,88.24822929
876,88.33849581
875,88.42071043
874,88.49648067
873,88.57557902
872,88.62964301
871,88.6915
870,88.72888009
869,88.77751819
868,88.8257739
867,88.84275142
866,88.90250536
865,88.90107243
864,88.94202232
863,88.9764348
862,88.98012264
861,89.01475483
860,89.02028903
859,89.04529971
858,89.04406951
857,89.05145095
856,89.08775194
855,89.08693142
854,89.07318875
853,89.08098284
852,89.04488964
851,89.06970214
850,89.07052251
849,89.06231919
848,89.04058404
847,89.05780768
846,89.05616719
845,89.0329985
844,89.02889847
843,89.02356872
842,88.99508045
841,88.97745919
840,88.97438607
839,88.96803529
838,88.95881722
837,88.94243191
836,88.89820665
835,88.91724539
834,88.91376488
833,88.91130814
832,88.91622169
831,88.89718318
830,88.87426048
829,88.87651155
828,88.8675076
827,88.86055062
826,88.88162784
825,88.90148184
824,88.89247535
823,88.89636441
822,88.89800195
821,88.90025363
820,88.91785961
819,88.92482107
818,88.93075922
817,88.93034968
816,88.96127528
815,88.94898568
814,88.98094218
813,88.98217151
812,88.99016254
811,89.00758137
810,88.99200672
809,89.00368746
808,89.00450721
807,89.0215189
806,89.02971846
805,89.03935391
804,89.0329985
803,89.04673496
802,89.05698744
801,89.05309136
800,89.08857247
799,89.09698337
798,89.0768806
797,89.09308554
796,89.1094986
795,89.07647039
794,89.04878536
793,89.06580551
792,89.05924314
791,89.09000842
790,89.07113779
789,89.09103412
788,89.07790614
787,89.07011233
786,89.0528863
785,89.04201922
784,89.03709871
783,89.02336373
782,89.02008405
781,89.01065564
780,88.9666013
779,88.98442532
778,88.95472061
777,88.96864986
776,88.93690255
775,88.90189125
774,88.84929784
773,88.82045631
772,88.78181107
771,88.7507435
770,88.7082476
769,88.62821448
768,88.58169781
767,88.50646599
766,88.44392345
765,88.38793752
764,88.32181802
763,88.27119377
762,88.25026131
761,88.24030489
760,88.2317717
759,88.20780194
758,88.2425399
757,88.24193035
756,88.24375903
755,88.25269979
754,88.28237334
753,88.29884037
752,88.31653059
751,88.32242812
750,88.34419139
749,88.35863539
748,88.36046649
747,88.39526457
746,88.41765654
745,88.44270156
744,88.45247715
743,88.47590222
742,88.52623619
741,88.54132157
740,88.54397197
739,88.57415136
738,88.59801667
737,88.62066406
736,88.60658527
735,88.6090336
734,88.60495309
733,88.62576562
732,88.59699665
731,88.59842468
730,88.60536113
729,88.61433853
728,88.63535735
727,88.63943926
726,88.66332216
725,88.67536811
724,88.693338
723,88.71110726
722,88.70477528
721,88.72663275
720,88.72847148
719,88.74154795
718,88.74461303
717,88.75646566
716,88.78508197
715,88.76300572
714,88.76893306
713,88.76402764
712,88.78344651
711,88.75564818
710,88.75789625
709,88.75646566
708,88.77424757
707,88.74645213
706,88.75544382
705,88.74195662
704,88.73255767
703,88.74502171
702,88.73337493
701,88.74829126
700,88.72601985
699,88.7329663
698,88.73051455
697,88.7235683
696,88.72234254
695,88.71069873
694,88.69885222
693,88.69783104
692,88.68639466
691,88.67822671
690,88.66658869
689,88.65760601
688,88.67005952
687,88.65454393
686,88.66495541
685,88.66454709
684,88.64474601
683,88.63515326
682,88.63637781
681,88.61311429
680,88.60801345
679,88.63188788
678,88.62168435
677,88.61107392
676,88.60291291
675,88.59250872
674,88.58088195
673,88.55946821
672,88.55233145
671,88.55233145
670,88.53540943
669,88.5604878
668,88.55824473
667,88.51604482
666,88.51563718
665,88.52766307
664,88.5040205
663,88.49036776
662,88.51482193
661,88.47773575
660,88.44351615
659,88.44901483
658,88.42498606
657,88.41643501
656,88.42274642
655,88.36107686
654,88.37796556
653,88.3618907
652,88.3535492
651,88.3256821
650,88.30921007
649,88.30982009
648,88.29050482
647,88.27851115
646,88.27261655
645,88.26875478
644,88.27586869
643,88.26103176
642,88.26184468
641,88.26306407
640,88.24558775
639,88.24924529
638,88.23299068
637,88.23685088
636,88.19886573
635,88.21145793
634,88.21531719
633,88.19724107
632,88.19785031
631,88.19581951
630,88.17348371
629,88.18871205
628,88.17571704
627,88.15744604
626,88.16455098
625,88.14506452
624,88.11300243
623,88.11401688
622,88.09474443
621,88.08521121
620,88.08825361
619,88.06858123
618,88.06817566
617,88.0432367
616,88.04465581
615,88.02884426
614,88.01506215
613,87.99479827
612,87.98770701
611,87.98527586
610,87.96137306
609,87.95165175
608,87.92593596
607,87.91480153
606,87.88828703
605,87.8965846
604,87.8733129
603,87.84782229
602,87.82213686
601,87.81141996
600,87.78877723
599,87.77442639
598,87.74371133
597,87.72552986
596,87.68352485
595,87.65102517
594,87.62943267
593,87.59755814
592,87.57073604
591,87.54734903
590,87.51308625
589,87.48205978
588,87.45205113
587,87.42024112
586,87.38602808
585,87.33835343
584,87.31261591
583,87.28105759
582,87.22520524
581,87.1944816
580,87.17159652
579,87.12423946
578,87.10558464
577,87.05726115
576,87.02559475
575,87.00115135
574,86.95168451
573,86.90524735
572,86.860035
571,86.81404657
570,86.78146952
569,86.72873261
568,86.6870053
567,86.64729316
566,86.59104882
565,86.55875476
564,86.52049591
563,86.4677185
562,86.42989791
561,86.38731979
560,86.33621397
559,86.30182903
558,86.22575385
557,86.16442615
556,86.11464191
555,86.05180809
554,86.01971513
553,85.95932569
552,85.90609937
551,85.80784596
550,85.74424883
549,85.68760415
548,85.63198276
547,85.55630106
546,85.47241992
545,85.40120528
544,85.3308359
543,85.25954291
542,85.16398994
541,85.08617488
540,84.99199041
539,84.87269642
538,84.80080989
537,84.70245539
536,84.60577344
535,84.5226296
534,84.41448981
533,84.28979547
532,84.19106436
531,84.06766791
530,83.95972356
529,83.85133859
528,83.72169262
527,83.61631035
526,83.46876735
525,83.3351075
524,83.17618559
523,83.04548007
522,82.91268895
521,82.76105153
520,82.58839001
519,82.45196306
518,82.28866184
517,82.11169175
516,81.94113967
515,81.73781047
514,81.58569171
513,81.38155802
512,81.18728158
511,81.00148857
510,80.78802664
509,80.56622224
508,80.34243683
507,80.1185351
506,79.89065834
505,79.62583507
504,79.40886708
503,79.15511788
502,78.89654769
501,78.62107904
500,78.3564948
499,78.06655234
498,77.78645865
497,77.46312264
496,77.16404755
495,76.86364932
494,76.54926057
493,76.22615261
492,75.90423367
491,75.56053078
490,75.22392671
489,74.87882141
488,74.51402102
487,74.19232825
486,73.80894539
485,73.45510773
484,73.10852131
483,72.74949785
482,72.36840485
481,71.98234653
480,71.62456543
479,71.2242689
478,70.83811563
477,70.46135653
476,70.091927
475,69.71769178
474,69.3314048
473,68.9655176
472,68.56587143
471,68.1886355
470,67.78287727
469,67.40715537
468,66.98815245
467,66.58156515
466,66.20167837
465,65.79804652
464,65.41464668
463,65.00982545
462,64.63161379
