nm,%T
1100,89.55420853
1099,89.59649078
1098,89.63425228
1097,89.56328206
1096,89.60618757
1095,89.54472355
1094,89.505351
1093,89.42439281
1092,89.46887985
1091,89.44251449
1090,89.38610226
1089,89.32540624
1088,89.32293812
1087,89.26002415
1086,89.25303644
1085,89.16060362
1084,89.11565428
1083,89.04078907
1082,89.02172388
1081,88.89902544
1080,88.80041594
1079,88.81288951
1078,88.71539693
1077,88.63127564
1076,88.61841947
1075,88.52847845
1074,88.43394518
1073,88.38264614
1072,88.29538407
1071,88.20800505
1070,88.20191207
1069,88.12862617
1068,88.1087419
1067,88.0750706
1066,88.01404885
1065,87.90063248
1064,87.84033836
1063,87.8288103
1062,87.75522822
1061,87.68150589
1060,87.63124866
1059,87.54130168
1058,87.51288474
1057,87.4605089
1056,87.3166369
1055,87.33453254
1054,87.25714519
1053,87.206328
1052,87.17842126
1051,87.11842194
1050,87.05766207
1049,87.05044589
1048,86.92906331
1047,86.87103584
1046,86.76428655
1045,86.74950393
1044,86.70596977
1043,86.62255711
1042,86.66445295
1041,86.56672748
1040,86.5611465
1039,86.56712613
1038,86.50475889
1037,86.4830505
1036,86.48046179
1035,86.40661662
1034,86.36524314
1033,86.39627139
1032,86.37021486
1031,86.37757354
1030,86.38712087
1029,86.38214817
1028,86.41895293
1027,86.41875394
1026,86.42293276
1025,86.38533067
1024,86.37956248
1023,86.33203935
1022,86.28493971
1021,86.18982521
1020,86.14438999
1019,86.18446698
1018,86.21265107
1017,86.31434913
1016,86.45219015
1015,86.64110848
1014,86.79505846
1013,86.95849204
1012,87.12343702
1011,87.28768992
1010,87.46514088
1009,87.63447717
1008,87.77947924
1007,87.95509459
1006,88.12679988
1005,88.30961675
1004,88.44147968
1003,88.57068429
1002,88.61576684
1001,88.69823951
1000,88.74297831
999,88.81738861
998,88.89984423
997,89.04550474
996,89.17702912
995,89.2900364
994,89.43180578
993,89.54946591
992,89.64622373
991,89.76933335
990,89.82247136
989,89.90565305
988,89.99119109
987,90.05752348
986,90.14839522
985,90.190958
984,90.27614387
983,90.31086459
982,90.34871914
981,90.33915001
980,90.34601471
979,90.37202213
978,90.40490622
