nm,%T
1100,77.64991774
1099,77.62292431
1098,77.56217874
1097,77.40374972
1096,77.29403865
1095,77.15143353
1094,77.05254717
1093,76.91003341
1092,76.74445389
1091,76.69852287
1090,76.55895555
1089,76.52335456
1088,76.33979687
1087,76.22211582
1086,76.05241336
1085,75.98904736
1084,75.82737119
1083,75.78094209
1082,75.61500757
1081,75.58001956
1080,75.44717796
1079,75.37980333
1078,75.2292964
1077,75.14913742
1076,75.05178055
1075,74.96956657
1074,74.83969346
1073,74.77096746
1072,74.63748553
1071,74.54216462
1070,74.44319428
1069,74.32809463
1068,74.24034818
1067,74.18532438
1066,74.03669098
1065,73.97738917
1064,73.81047497
1063,73.79161238
1062,73.65275561
1061,73.62799938
1060,73.49537328
1059,73.44817345
1058,73.32549442
1057,73.25259258
1056,73.13866013
1055,73.09337241
1054,72.93684949
1053,72.87003867
1052,72.77898593
1051,72.71884963
1050,72.62648073
1049,72.58084165
1048,72.44159434
1047,72.34941102
1046,72.24253882
1045,72.20113089
1044,72.06875175
1043,71.98284377
1042,71.95069611
1041,71.81530347
1040,71.74225115
1039,71.65887735
1038,71.54511729
1037,71.42528796
1036,71.32979896
1035,71.24838097
1034,71.11938624
1033,71.06078487
1032,70.95516266
1031,70.83778941
1030,70.73184719
1029,70.61305481
1028,70.53213011
1027,70.39956895
1026,70.31662214
1025,70.18931435
1024,70.10822955
1023,70.0059575
1022,69.92814375
1021,69.78595081
1020,69.72491604
1019,69.64388665
1018,69.58634085
1017,69.48803008
1016,69.42645656
1015,69.36046563
1014,69.30889901
1013,69.24365757
1012,69.22452748
1011,69.15618063
1010,69.14089548
1009,69.12434037
1008,69.12243042
1007,69.10683447
1006,69.18787626
1005,69.21799258
1004,69.27730746
1003,69.34050496
1002,69.44036581
1001,69.50579258
1000,69.62304284
999,69.71721019
998,69.86183682
997,69.96583153
996,70.17089245
995,70.2636975
994,70.45210927
993,70.62264842
992,70.81740359
991,70.97820303
990,71.21656132
989,71.38681403
988,71.62011269
987,71.8252258
986,72.07837717
985,72.3024477
984,72.59471423
983,72.84671967
982,73.16611579
981,73.41587851
980,73.79195221
979,74.11173833
978,74.50990334
977,74.88382161
976,75.29306906
975,75.70786517
974,76.16404483
973,76.65826753
972,77.20261305
971,77.66833587
970,78.23336308
969,78.68663984
968,79.2302452
967,79.64967352
966,80.19051452
965,80.56121361
964,80.97295713
