nm,%T
1100.00708,81.73618317
1099.00769,80.54960632
1098.007568,81.87428284
1097.006714,81.88344574
1096.005005,82.2990036
1095.002686,81.27162933
1093.999512,82.82243347
1092.995605,82.02907562
1091.990845,81.40233612
1090.985352,81.32334137
1090.008789,80.88129425
1089.001831,82.39189148
1087.994263,81.72641754
1086.985718,81.680336
1086.006226,81.67804718
1084.996094,80.53382874
1083.985474,82.36834717
1083.003784,81.7375946
1081.991455,80.51947784
1081.008423,81.32161713
1079.994751,80.84368896
1079.010132,80.80532837
1077.994995,80.5863266
1077.009033,81.18562317
1075.99231,80.89035797
1075.005005,80.83123779
1073.986694,80.38591003
1072.997925,80.66507721
1072.008301,80.5750885
1070.988037,80.57091522
1069.996948,81.51470184
1069.005371,80.45571899
1068.012939,80.75885773
1066.989624,80.88067627
1065.99585,80.1882782
1065.001221,80.03019714
1064.005981,79.86288452
1063.01001,79.49615479
1062.013428,80.30503845
1060.98584,79.6082077
1059.987793,79.7853241
1058.989014,79.52350616
1057.989624,79.7587204
1056.989502,79.30479431
1055.98877,79.68618011
1054.987183,79.71710968
1053.984985,79.97394562
1053.012451,79.32582855
1052.008911,79.28489685
1051.004761,79.73019409
1049.999634,79.50169373
1048.994141,79.66304016
1047.987793,79.47277832
1047.01123,79.68684387
1046.003662,79.57932281
1044.995239,79.09529114
1043.986206,79.35861206
1043.00708,79.11504364
1041.996704,79.15055847
1040.985596,79.0432663
1040.004517,78.99487305
1038.991943,79.29833221
1038.009644,79.01901245
1036.99585,79.51594543
1036.012207,79.25504303
1034.99707,79.51835632
1034.012207,79.28297424
1032.995728,79.35097504
1032.009277,79.25302124
1030.991577,79.49209595
1030.004028,79.68009186
1028.984863,79.55195618
1027.996094,79.43235779
1027.00647,79.59244537
1025.985474,79.67195892
1024.994751,79.94332123
1024.003174,79.77811432
1023.01123,79.65921021
1021.987549,79.60492706
1020.99408,79.6309967
1020.000183,79.55310059
1019.005615,79.64372253
1018.010376,79.76208496
1017.014526,79.91188049
1015.986938,80.08005524
1014.989807,80.1453476
1013.992065,80.36680603
1012.993774,80.57275391
1011.99469,80.67208099
