nm,%T
1100,88.58536929
1099,88.65454393
1098,88.69292955
1097,88.72275112
1096,88.73562243
1095,88.64637892
1094,88.57251978
1093,88.59189675
1092,88.54070995
1091,88.57517111
1090,88.49220159
1089,88.49138655
1088,88.41704578
1087,88.40930978
1086,88.31368365
1085,88.31551382
1084,88.21470782
1083,88.27261655
1082,88.1509506
1081,88.07263703
1080,88.03695239
1079,88.0205342
1078,87.91055057
1077,87.85692523
1076,87.78331959
1075,87.77927712
1074,87.67383425
1073,87.61167834
1072,87.53928599
1071,87.52678975
1070,87.49394524
1069,87.42728664
1068,87.34619684
1067,87.31522953
1066,87.23966717
1065,87.14109241
1064,87.03842026
1063,86.99654394
1062,86.85363515
1061,86.79705701
1060,86.66984103
1059,86.61398093
1058,86.4830505
1057,86.41835597
1056,86.21781253
1055,86.15113432
1054,85.99199012
1053,85.90056097
1052,85.80587019
1051,85.7300348
1050,85.62803936
1049,85.56260531
1048,85.38980072
1047,85.28860283
1046,85.18595568
1045,85.08950555
1044,84.99903595
1043,84.90709847
1042,84.88364101
1041,84.83401077
1040,84.83440145
1039,84.79827153
1038,84.77425854
1037,84.77972431
1036,84.83244808
1035,84.86605217
1034,84.88422737
1033,84.96342282
1032,85.01900148
1031,85.08010163
1030,85.16477434
1029,85.21008529
1028,85.36738929
1027,85.41733157
1026,85.5364063
1025,85.53680021
1024,85.62232174
1023,85.65485811
1022,85.72450776
1021,85.68405277
1020,85.76004495
1019,85.80606776
1018,85.88276142
1017,85.92509085
1016,86.02030934
1015,86.13328284
1014,86.25077379
1013,86.37518688
1012,86.52129279
1011,86.63213151
1010,86.77747318
1009,86.90944969
1008,87.03401127
1007,87.13948723
1006,87.3264891
1005,87.40051667
1004,87.57618046
1003,87.70351511
1002,87.82961924
1001,87.90447814
1000,88.01384619
999,88.04343943
998,88.15176251
997,88.20313063
996,88.36392533
995,88.3979106
994,88.51196859
993,88.57190794
992,88.66924285
991,88.71580548
990,88.78773967
989,88.82127438
988,88.91601696
987,88.96885472
986,89.0354586
985,89.03381852
984,89.12755646
983,89.09882977
982,89.16655751
981,89.12960873
980,89.14192329
979,89.13576579
978,89.17189583
977,89.16820004
976,89.16183543
975,89.14992866
974,89.12057913
973,89.10354852
972,89.1372025
971,89.07195817
970,89.09226496
969,89.0196741
968,89.03894387
967,88.95635924
966,88.98299107
965,88.92850677
964,88.91274123
963,88.86648448
962,88.87405584
961,88.85195746
960,88.82393316
959,88.74154795
958,88.71989109
957,88.62719411
956,88.53907899
955,88.43699963
954,88.3277159
953,88.21064547
952,88.0807492
951,87.92087468
950,87.76108827
949,87.56871967
948,87.32709233
947,87.07530413
946,86.78047041
945,86.45000048
944,86.11761626
943,85.69352344
942,85.26346935
941,84.77542975
940,84.24962956
939,83.66137537
938,83.0596315
937,82.45613992
936,81.89454984
935,81.30776064
934,80.78914277
933,80.3376271
932,79.98066302
931,79.71150336
930,79.5080313
929,79.42733664
928,79.40521025
