nm,%T
1100,85.76754913
1099,85.81001937
1098,85.83076829
1097,85.83847631
1096,85.85666207
1095,85.82404904
1094,85.73279845
1093,85.65722487
1092,85.67931782
1091,85.68129069
1090,85.70141647
1089,85.6716241
1088,85.56831894
1087,85.55590705
1086,85.53089174
1085,85.45470908
1084,85.42972336
1083,85.38272279
1082,85.35205854
1081,85.25306468
1080,85.222447
1079,85.17026529
1078,85.08813408
1077,85.07775081
1076,85.01586932
1075,84.96890079
1074,84.86800631
1073,84.84905309
1072,84.76937868
1071,84.71844973
1070,84.71435333
1069,84.611618
1068,84.56720946
1067,84.55844737
1066,84.48138011
1065,84.35503307
1064,84.2791215
1063,84.24070641
1062,84.11878671
1061,84.01464565
1060,83.91430462
1059,83.85500709
1058,83.76411416
1057,83.61573276
1056,83.48279869
1055,83.38366885
1054,83.28254727
1053,83.13023343
1052,83.0674732
1051,82.97991775
1050,82.90085315
1049,82.79421637
1048,82.67039258
1047,82.58287536
1046,82.50361916
1045,82.41305245
1044,82.28866184
1043,82.24926014
1042,82.21139167
1041,82.11944395
1040,82.10507459
1039,82.13022262
1038,82.10110456
1037,82.1313573
1036,82.15216252
1035,82.19530286
1034,82.20079163
1033,82.31784642
1032,82.36031519
1031,82.43962356
1030,82.50874855
1029,82.60151256
1028,82.69704667
1027,82.79135681
1026,82.89169112
1025,82.9357927
1024,83.01431717
1023,83.04662739
1022,83.11377342
1021,83.09444663
1020,83.1231514
1019,83.21948043
1018,83.25781324
1017,83.34105619
1016,83.39922214
1015,83.54356429
1014,83.66657675
1013,83.81369745
1012,83.94213288
1011,84.06069958
1010,84.19203365
1009,84.32201964
1008,84.43645665
1007,84.57032508
1006,84.7194251
1005,84.85432831
1004,84.99453456
1003,85.1188995
1002,85.20988909
1001,85.32317347
1000,85.38311599
999,85.44270715
998,85.52596833
997,85.58546212
996,85.71483629
995,85.79935045
994,85.83373283
993,85.94309707
992,86.00050471
991,86.07935418
990,86.12733317
989,86.18347475
988,86.23826292
987,86.28176092
986,86.33144299
985,86.3403888
984,86.3938842
983,86.42611676
982,86.4277088
981,86.39527672
980,86.39647032
979,86.45716688
978,86.417958
977,86.4420385
976,86.41437635
975,86.42313176
974,86.3692205
973,86.37498799
972,86.38294379
971,86.32269687
970,86.32448578
969,86.29944446
968,86.28652916
967,86.23826292
966,86.18704683
965,86.15847433
964,86.14538177
963,86.0858952
962,86.05993228
961,86.02209198
960,85.94586759
959,85.91084684
958,85.86437242
957,85.75313379
956,85.68247443
955,85.57600339
954,85.47419121
953,85.36719272
952,85.22048471
951,85.06815231
950,84.92606465
949,84.70908682
948,84.49110695
947,84.21297306
946,83.95257086
945,83.64962531
944,83.30057515
943,82.87279762
942,82.46240561
941,81.98945508
940,81.45542238
939,80.92356372
938,80.33411248
937,79.74711856
936,79.17061162
935,78.60732183
934,78.13057131
933,77.67244925
932,77.33409365
931,77.05059557
930,76.89923156
929,76.79571708
928,76.78245608
927,76.82277664
926,76.96831872
925,77.09336459
924,77.2806916
923,77.49273696
922,77.7476015
921,77.96056897
920,78.20670705
919,78.44982877
918,78.708566
917,78.91053721
916,79.13580053
915,79.3770583
914,79.59668851
913,79.87373627
912,80.18312904
911,80.51392524
910,80.88686436
909,81.23870653
908,81.56033483
907,81.84270973
906,82.11547322
905,82.29472532
904,82.48918258
903,82.6412733
902,82.76829329
901,82.84284403
900,82.95871187
899,82.98507675
898,83.06575179
897,83.09062008
896,83.18059067
895,83.25532107
894,83.3399048
893,83.47145811
892,83.59936911
891,83.73210319
890,83.87933911
889,84.06244161
888,84.2488536
887,84.4094363
886,84.53236119
885,84.69601949
884,84.81897111
883,84.94816462
882,85.05307115
881,85.17320702
880,85.29842261
879,85.37525228
878,85.45175763
877,85.54999727
876,85.62744786
875,85.67616134
874,85.77505397
873,85.79915289
872,85.83887161
871,85.90412133
870,85.95516929
869,85.96922269
868,85.99812846
867,86.00525741
866,86.06805724
865,86.0821291
864,86.09937522
863,86.13090292
862,86.14101802
861,86.14796045
860,86.15549857
859,86.15986305
858,86.16422775
857,86.15569695
856,86.17791847
855,86.16442615
854,86.15589534
853,86.166807
852,86.15291967
851,86.15490344
850,86.13387783
849,86.120789
848,86.11840943
847,86.11523677
846,86.10730563
845,86.0950138
844,86.06825542
843,86.05814885
842,86.03595822
841,86.00129681
840,86.02545929
839,85.98030869
838,85.99139611
837,85.97733909
836,85.93993087
835,85.93241161
834,85.91994691
833,85.90530815
832,85.92726723
831,85.87742227
830,85.88632103
829,85.87425849
828,85.87208345
827,85.88157491
826,85.84954544
825,85.87979518
824,85.87030392
823,85.89344071
822,85.89403404
821,85.89363849
820,85.90985776
819,85.8944296
818,85.93122441
817,85.90965995
816,85.92845436
815,85.93577541
814,85.93814993
813,85.9541797
812,85.95695058
811,85.95774228
810,85.96011741
809,85.96427405
808,85.9654617
807,85.96882679
806,85.98763415
805,85.97318181
804,85.98704017
803,85.97357774
802,85.98961411
801,85.98664419
800,86.0151597
799,86.00941623
798,85.99713838
797,86.00664366
796,86.0110006
795,85.99001011
794,85.96486787
793,85.97417162
792,85.95635681
791,85.96526376
790,85.94586759
789,85.99614831
788,85.96585758
787,85.95754435
786,85.93617116
785,85.9302351
784,85.90253893
783,85.89917643
782,85.90154995
781,85.90807745
780,85.86180222
779,85.86101141
778,85.84361537
777,85.82424666
776,85.80705565
775,85.74227451
774,85.68405277
773,85.6532803
772,85.62705353
771,85.5665457
770,85.51277498
769,85.43169047
768,85.35992012
767,85.28663901
766,85.21911113
765,85.14987211
764,85.08970148
763,85.03642621
762,85.00412475
761,84.98044482
760,84.96733562
759,84.98729371
758,85.00451621
757,84.99218611
756,85.00960535
755,85.0358388
754,85.04739192
753,85.05992589
752,85.07677132
751,85.10694473
750,85.08166888
749,85.13438439
748,85.15026424
747,85.17516823
746,85.18948641
745,85.21028149
744,85.23481051
743,85.25777607
742,85.28369337
741,85.29233421
740,85.3131544
739,85.33771303
738,85.34498374
737,85.36365462
736,85.35795466
735,85.34066054
734,85.35539962
733,85.34891411
732,85.34930716
731,85.35598924
730,85.37092754
729,85.34223259
728,85.3738762
727,85.36955154
726,85.39078381
725,85.39569944
724,85.41182469
723,85.42264212
722,85.41339805
721,85.42598596
720,85.41910172
719,85.43444451
718,85.42519916
717,85.42618266
716,85.44329737
715,85.43149376
714,85.4181183
713,85.42755958
712,85.40926805
711,85.39510955
710,85.41339805
709,85.38449222
708,85.40513824
707,85.39196353
706,85.38645829
705,85.37584203
704,85.36090287
703,85.35775811
702,85.35127242
701,85.35716849
700,85.34341164
699,85.3253346
698,85.3253346
697,85.30863638
696,85.30274367
695,85.29154865
694,85.27387528
693,85.27858782
692,85.28055146
691,85.26484364
690,85.24285757
689,85.24756839
688,85.24285757
687,85.23068914
686,85.22499806
685,85.20380701
684,85.18419037
683,85.1749721
682,85.15673465
681,85.13712885
680,85.14144174
679,85.13928526
678,85.12281946
677,85.12281946
676,85.10557298
675,85.12183945
674,85.08010163
673,85.09812672
672,85.06776056
671,85.07383293
670,85.040734
669,85.0691317
668,85.0518961
667,85.02076337
666,85.00177604
665,85.01978453
664,84.99570881
663,84.97731408
662,84.96929209
661,84.95129429
660,84.91765644
659,84.91589669
658,84.89615085
657,84.84924847
656,84.8576499
655,84.80237199
654,84.78655703
653,84.77289215
652,84.74361769
651,84.7254726
650,84.72917934
649,84.71981524
648,84.69445934
647,84.68938907
646,84.69718961
645,84.68490409
644,84.6845141
643,84.68373413
642,84.67768961
641,84.66228778
640,84.66170296
639,84.65351584
638,84.64610913
637,84.63870307
636,84.6256466
635,84.64123665
634,84.63870307
633,84.62642603
632,84.60869567
631,84.62525688
630,84.61239731
629,84.62194438
628,84.60772158
627,84.58609971
626,84.59525424
625,84.56896198
624,84.54793406
623,84.55903148
622,84.53761671
621,84.52983086
620,84.54326189
619,84.51465053
618,84.50628305
617,84.49460888
616,84.4928579
615,84.46484706
614,84.45842921
613,84.45862368
612,84.43567897
611,84.44267839
610,84.41565605
609,84.40924194
608,84.39447192
607,84.39952453
606,84.36727074
605,84.3645511
604,84.36493962
603,84.34046673
602,84.32900964
601,84.311924
600,84.29387134
599,84.2764047
598,84.25777762
597,84.23876671
596,84.22984471
595,84.21413652
594,84.19765576
593,84.17768929
592,84.16140945
591,84.1701304
590,84.15540221
589,84.14862036
588,84.14319527
587,84.12517874
586,84.09554704
585,84.0910935
584,84.08644659
583,84.08877001
582,84.0597318
581,84.04405533
580,84.01774092
579,83.99356215
578,83.98911402
577,83.96784358
576,83.94889809
575,83.93285577
574,83.89942801
573,83.8963371
572,83.86601356
571,83.83743835
570,83.81948729
569,83.79285731
568,83.77973841
567,83.76276405
566,83.72554824
565,83.71976488
564,83.69971901
563,83.66946654
562,83.64558059
561,83.62747805
560,83.64211385
559,83.57800493
558,83.56915291
557,83.54087121
556,83.54568034
555,83.49702465
554,83.51221449
553,83.47991535
552,83.47799317
551,83.42995321
550,83.37560532
549,83.38136491
548,83.35314676
547,83.32282769
546,83.2973145
545,83.27200086
544,83.27372654
543,83.24784501
542,83.20300275
541,83.17484496
540,83.17158923
539,83.12372559
538,83.10095218
537,83.0825849
536,83.04261183
535,83.04165577
534,82.98201952
533,82.96081311
532,82.93617463
531,82.89359979
530,82.87470586
529,82.82644092
528,82.79669474
527,82.77648868
526,82.75133332
525,82.71094827
524,82.63937044
523,82.62224664
522,82.57717093
521,82.54333278
520,82.49849008
519,82.47019093
518,82.42500839
517,82.38288564
516,82.34249081
515,82.29832572
514,82.27824129
513,82.20779508
512,82.15594585
511,82.12284759
510,82.07993427
509,82.02552146
508,81.98662331
507,81.93264967
506,81.89454984
505,81.81199818
504,81.77640227
503,81.70394001
502,81.65861319
501,81.58512814
500,81.53836523
499,81.49031564
498,81.42504364
497,81.35757589
496,81.28080571
495,81.21588853
494,81.17195389
493,81.08116871
492,81.0296569
491,80.94033546
490,80.89021691
489,80.82672834
488,80.73038061
487,80.68039207
486,80.58291992
485,80.50743684
484,80.43646943
483,80.35668273
482,80.26736384
481,80.15894635
480,80.09806047
479,80.00055502
478,79.9318749
477,79.83916753
476,79.74473148
475,79.66379659
474,79.57378204
473,79.48881085
472,79.3891222
471,79.30544383
470,79.17042932
469,79.07951553
468,78.97579384
467,78.8596781
466,78.77093491
465,78.67105967
464,78.57710063
463,78.45651264
462,78.38933857
461,78.2612896
460,78.17789994
459,78.07536083
458,77.94674786
457,77.82139293
456,77.74133604
455,77.62274558
454,77.51540135
453,77.40677967
452,77.29937812
451,77.16902266
450,77.06070892
449,76.9438654
448,76.84559896
447,76.71000305
446,76.59933512
445,76.47737978
444,76.35491535
443,76.24405746
442,76.09900879
441,76.00672151
440,75.85059641
439,75.73314634
438,75.61552991
437,75.42650769
436,75.28804153
435,75.15415567
434,74.99408316
433,74.84968897
432,74.69095287
431,74.49034745
430,74.30276923
429,74.11020251
428,73.91796466
427,73.73097891
426,73.54548224
425,73.37346014
424,73.19223349
423,73.00893276
422,72.78652741
421,72.63718415
420,72.43825836
419,72.25368477
418,72.03921969
417,71.80604386
416,71.56900839
415,71.36101195
414,71.12511801
413,70.86992938
412,70.61679453
411,70.34528605
410,70.07175583
409,69.76811671
408,69.4509195
407,69.16223194
406,68.87664748
405,68.54755994
404,68.21596074
403,67.88596564
402,67.5731244
401,67.21187329
400,66.89690107
