nm,%T
1099.990234,108.1205978
1095.013672,101.8526688
1089.98877,101.5548248
1085.004395,100.0103836
1080.001465,107.940033
1075.01001,103.7919769
1070.000732,99.03390503
1065.003662,102.6298294
1059.988525,98.96443176
1054.986572,100.6797638
1049.997559,100.1563339
1044.991699,98.61839294
1039.999512,99.72909546
1034.990723,98.34279633
1029.996094,100.4756241
1024.985352,100.166153
1019.989441,99.92742157
1015.008789,100.1784897
1010.012451,101.4250488
1005.000671,103.4152985
1000.004761,103.0815506
994.9935913,103.8799973
989.9989624,104.1929474
984.989502,104.6234512
979.9969482,104.0963287
974.9899902,103.7807465
970.0004883,103.8891525
964.9968262,103.8110123
960.0111694,103.1922913
955.0116577,102.8119888
949.9984131,101.9079361
945.0037231,100.7925491
939.9957275,97.65408325
935.0067749,94.14802551
930.0047607,92.09860229
924.989563,92.64322662
919.9942627,94.19566345
914.986084,95.81731415
909.9984131,98.22451019
904.9981689,100.2676697
899.9854736,101.3025436
894.9936523,101.3208389
889.9897461,101.7984772
885.0074463,102.1324768
880.0131836,101.5742416
875.0070801,101.5139313
869.9893799,102.4691086
864.9938354,102.8756256
859.9867554,103.8980331
855.0025024,103.7171097
850.006958,103.909996
845.0003662,103.697464
840.0169678,103.2092361
834.9884644,103.4747849
829.9835815,103.3178329
825.0021973,103.2815552
820.0105591,103.2861862
815.0085449,103.4130936
809.9960327,103.0927887
805.0081177,103.3990021
800.0100708,103.5259476
795.0020142,103.122345
789.9840698,103.1951447
784.9911499,103.1103134
779.9886475,103.0999451
775.0115967,102.6751556
769.9899292,102.5216446
764.9940796,101.7222061
759.9888916,101.5522385
755.0098267,101.4919128
749.9862671,101.4521027
744.9891357,101.4951248
739.9830933,101.7024307
735.0037231,101.4373398
730.0157471,101.3827591
724.9834595,101.5298691
720.0139771,101.1198883
715.0002441,100.6691589
710.0140991,100.1417542
704.9835815,99.8973999
700.0169067,99.92137909
695.0060425,99.36568451
689.9871216,98.94533539
684.9963989,98.72212982
679.9977417,97.70080566
674.991333,96.4885025
670.0135498,95.24910736
664.9917603,95.29868317
659.9988403,95.07415009
654.9984131,94.96356201
649.9906006,94.82377625
645.012146,94.80033875
639.9898071,94.56378937
634.9968262,94.01823425
629.9968872,93.64858246
624.9899292,93.10658264
620.0129395,92.41840363
614.9920654,91.81213379
610.0014648,90.96631622
605.0041504,90.04084778
600.0001221,89.37210083
594.989563,88.79681396
590.0097046,87.96076202
584.986145,86.98527527
579.9934692,85.85489655
574.9945679,85.15351105
569.9893799,83.96760559
565.0155029,82.60526276
559.9981079,81.43658447
555.012207,79.9367218
549.9827881,78.6940918
544.9851074,77.23523712
539.9815063,75.6656723
535.0098877,73.95597839
529.9949951,71.97544861
525.012085,70.28382874
519.9859619,68.18526459
514.9921875,65.83146667
509.9929199,63.31819916
504.9883118,60.63087463
500.016449,57.65600204
495.0013428,54.65584946
489.9810486,51.75128174
484.9937134,48.877491
480.0012817,46.35749054
475.0040283,43.72486496
470.0018005,40.92650604
464.9946899,37.73003387
459.9828491,34.47528076
455.0045166,31.22644043
449.9832153,28.25114441
444.995636,25.6267128
440.00354,22.94781494
435.006958,20.36996269
430.006012,17.78256607
425.0005798,15.28154755
419.9908752,13.21396065
415.0155029,11.23447609
409.9972839,9.603216171
405.0136108,8.017429352
399.9872131,6.424704075
