nm,%T
1100.00708,82.08630371
1099.00769,82.57386017
1098.007568,82.43000793
1097.006714,82.19333649
1096.005005,81.10380554
1095.002686,82.95156097
1093.999512,81.14757538
1092.995605,82.25347137
1091.990845,81.44516754
1090.985352,81.75153351
1090.008789,82.30543518
1089.001831,81.73188019
1087.994263,81.15097046
1086.985718,82.70705414
1086.006226,82.19684601
1084.996094,81.65708923
1083.985474,82.09407043
1083.003784,82.83501434
1081.991455,81.74091339
1081.008423,81.9503479
1079.994751,81.03147888
1079.010132,81.7506485
1077.994995,82.25183105
1077.009033,81.66983795
1075.99231,80.46722412
1075.005005,81.36222076
1073.986694,81.93455505
1072.997925,82.35422516
1072.008301,81.42675018
1070.988037,80.62232208
1069.996948,82.27389526
1069.005371,81.72272491
1068.012939,82.78270721
1066.989624,81.80356598
1065.99585,81.06658936
1065.001221,80.90516663
1064.005981,81.3738327
1063.01001,81.24410248
1062.013428,80.50930023
1060.98584,80.15260315
1059.987793,80.35813904
1058.989014,80.14263153
1057.989624,80.29528809
1056.989502,80.10083008
1055.98877,80.01869965
1054.987183,79.80634308
1053.984985,79.65958405
1053.012451,79.78128052
1052.008911,79.75026703
1051.004761,79.67827606
1049.999634,79.70457458
1048.994141,79.7193985
1047.987793,79.94553375
1047.01123,79.10188293
1046.003662,79.19574738
1044.995239,79.42343903
1043.986206,79.04077148
1043.00708,79.20372772
1041.996704,79.25449371
1040.985596,79.15813446
1040.004517,79.14241791
1038.991943,79.39372253
1038.009644,78.94166565
1036.99585,79.07024384
1036.012207,79.10240936
1034.99707,79.50701904
1034.012207,79.43761444
1032.995728,79.12580109
1032.009277,79.52471924
1030.991577,79.35702515
1030.004028,79.79595947
1028.984863,79.66422272
1027.996094,79.94280243
1027.00647,79.87921143
1025.985474,80.10835266
1024.994751,80.10113525
1024.003174,80.13806915
1023.01123,80.26125336
1021.987549,80.19023895
1020.99408,80.28032684
1020.000183,80.36107635
1019.005615,80.35758972
1018.010376,80.5809021
1017.014526,80.73673248
1015.986938,80.85188293
1014.989807,80.94559479
1013.992065,81.00906372
1012.993774,81.00559235
1011.99469,81.26130676
1010.995178,81.33380127
1009.994873,81.41684723
1008.994019,81.56251526
1007.992432,81.80362701
1006.990417,81.70445251
1005.98761,81.84540558
1004.984314,81.96763611
1004.011719,82.18435669
1003.007263,82.34144592
1002.001953,82.38790131
1000.996216,82.55888367
999.9896851,82.61932373
999.0140991,82.67866516
998.0065918,82.98163605
996.99823,82.98752594
995.9894409,83.05114746
995.0114746,83.03092957
994.0014038,83.2795105
992.9907837,83.49889374
992.0109863,83.71321106
990.9990845,83.52591705
989.9865723,83.60884857
989.005188,83.70347595
987.9914551,83.89355469
987.0088501,83.9130249
985.9940796,84.02804565
985.0102539,83.92695618
983.9940186,83.93227386
983.0091553,83.87828827
981.9918823,83.9315033
981.0057373,84.12055969
979.9872437,84.1394043
979.000061,84.27071381
978.0122681,84.13630676
976.9921265,84.07590485
976.0031128,84.16474152
975.0134888,84.23610687
973.9915161,84.18990326
973.0009155,84.24394989
972.0096436,84.06678772
970.9857788,84.04014587
969.9934692,84.17019653
969.0006104,84.22803497
968.0070801,84.28170013
967.0130005,84.14155579
965.9862671,84.1301651
964.9910889,83.99040222
963.9953613,83.97524261
962.9990234,83.99082947
962.0022583,83.87229156
961.0047607,84.00476837
960.0067749,83.98505402
959.0083618,83.90684509
958.0092163,83.78174591
957.0095825,83.72237396
956.0093994,83.46484375
955.0085449,83.51032257
954.0072632,83.36412048
953.0055542,83.28445435
952.0031128,83.19146729
951.0001831,82.9879303
949.996582,82.77888489
948.9925537,82.56292725
947.987915,82.44274139
947.0151978,82.1677475
946.0094604,81.92047882
945.0032959,81.68725586
943.996582,81.25363159
942.9892578,80.89633942
942.013855,80.43166351
941.0054932,79.9031601
939.996582,79.44281006
938.9871216,78.86660767
938.0096436,78.38702393
936.9990845,77.81321716
935.9879761,77.24790955
935.0089722,76.64864349
933.9967651,76.2546463
932.9840698,75.86494446
932.00354,75.66042328
930.9898071,75.32022858
930.0083008,75.28826141
928.9933472,75.13233185
928.0108032,75.03384399
926.9949341,75.04611969
926.0112915,75.05752563
924.9943237,75.25259399
924.0097656,75.24353027
922.9916992,75.51065063
922.0061646,75.60046387
920.9870605,75.75156403
920.0004272,75.93830872
919.0133057,76.12466431
917.9926147,76.25804901
917.0043945,76.59667969
916.0157471,76.70989227
914.9936523,76.69648743
914.0038452,76.89613342
913.0136719,77.0382309
911.9899292,77.18011475
910.9987793,77.57646942
910.0070801,77.75888824
909.0149536,78.09978485
907.9891968,78.27610016
906.9959717,78.56184387
906.0022583,78.68631744
905.0081787,78.91075134
904.0134888,78.96874237
902.9851685,79.02047729
901.989563,79.02612305
900.9934082,78.97668457
899.9968262,78.96136475
898.9996338,78.97145081
898.0020752,79.058815
897.0039673,79.03358459
896.0054321,79.08023834
895.0064087,79.1703186
894.0067749,79.08960724
893.0067749,79.17698669
892.0062866,79.24803925
891.0053101,79.42562103
890.0039063,79.54711151
889.00177,79.78629303
887.9993286,80.08157349
886.9963989,80.37789917
885.993042,80.63286591
884.9892578,80.82142639
883.9848022,81.05343628
883.0134277,81.45677185
