nm,%T
1100,89.43860154
1099,89.45157671
1098,89.52019097
1097,89.44766336
1096,89.52369522
1095,89.44642761
1094,89.39968735
1093,89.40030491
1092,89.40133417
1091,89.34865103
1090,89.39021874
1089,89.30792521
1088,89.26002415
1087,89.20454862
1086,89.2538585
1085,89.16470971
1084,89.1058054
1083,89.07195817
1082,88.99856414
1081,88.94591354
1080,88.8818325
1079,88.82843282
1078,88.77526963
1077,88.73991329
1076,88.68312739
1075,88.61576684
1074,88.56109955
1073,88.48507025
1072,88.44901483
1071,88.34825988
1070,88.38753048
1069,88.31734402
1068,88.21308286
1067,88.27973077
1066,88.14404972
1065,88.06087572
1064,87.95691733
1063,87.91642099
1062,87.77301164
1061,87.7206821
1060,87.62559904
1059,87.5477522
1058,87.39367454
1057,87.30578066
1056,87.10618634
1055,87.07370016
1054,86.91725458
1053,86.82144306
1052,86.68081779
1051,86.66884322
1050,86.5525764
1049,86.49659271
1048,86.3230944
1047,86.28871469
1046,86.15986305
1045,86.11206423
1044,86.00505937
1043,85.94606549
1042,85.8274086
1041,85.80646291
1040,85.7981651
1039,85.81120489
1038,85.7434591
1037,85.76735165
1036,85.7837446
1035,85.85349905
1034,85.80626534
1033,85.94369075
1032,85.93696266
1031,86.05874333
1030,86.06349924
1029,86.20093966
1028,86.25375284
1027,86.36146482
1026,86.39050247
1025,86.45557429
1024,86.49480024
1023,86.59882512
1022,86.58646313
1021,86.59065006
1020,86.58108023
1019,86.68021902
1018,86.72513808
1017,86.84263651
1016,86.90024483
1015,87.07690813
1014,87.16617724
1013,87.34257671
1012,87.44359417
1011,87.5812219
1010,87.70412095
1009,87.86724304
1008,87.95955023
1007,88.1205096
1006,88.23583502
1005,88.42641131
1004,88.4848665
1003,88.67353049
1002,88.73460083
1001,88.86198289
1000,88.91581222
999,88.99958878
998,89.05042572
997,89.16799472
996,89.24235042
995,89.36881513
994,89.41203923
993,89.50329008
992,89.56864413
991,89.67677881
990,89.71684651
989,89.79620857
988,89.85929356
987,89.90896536
986,89.9474799
985,89.9706794
984,90.02497304
983,90.02476575
982,90.04342376
981,90.03824059
980,90.02103462
979,90.03036275
978,90.01440187
977,90.04674114
976,90.00175954
975,90.03388696
974,89.99388489
973,89.98766855
972,89.99637155
971,89.9615646
970,89.91144967
969,89.9713009
968,89.91703962
967,89.85908665
966,89.85660379
965,89.81068317
964,89.78587099
963,89.74246617
962,89.7013543
961,89.66149997
960,89.60763186
959,89.5471978
958,89.5203971
957,89.41780402
956,89.36593426
955,89.24419983
954,89.16265664
953,89.03955893
952,88.93198785
951,88.73725702
950,88.62311277
949,88.36168724
948,88.20211516
947,87.92472122
946,87.68978394
945,87.38321113
944,87.11761955
943,86.72174339
942,86.36564087
941,85.88177266
940,85.45707031
939,84.91570116
938,84.4063266
937,83.83434972
936,83.38059694
935,82.78620985
934,82.37719503
933,81.8609914
932,81.60692243
931,81.27706268
930,81.12785622
929,80.96363531
928,80.98395826
927,80.93903087
926,81.0815421
925,81.1172091
924,81.29035123
923,81.41079579
922,81.65974135
921,81.82650465
920,82.0498894
919,82.2267263
918,82.46050687
917,82.62395886
916,82.83750313
915,83.01183229
914,83.24381972
913,83.49260281
912,83.78398254
911,84.08547851
910,84.44073405
909,84.80451993
908,85.09871456
907,85.41025136
906,85.63296864
905,85.87524716
904,86.05180809
903,86.22257724
902,86.29547031
901,86.43785876
900,86.47588195
899,86.53185224
898,86.54161589
897,86.58088087
896,86.56453491
895,86.61876753
894,86.63093466
893,86.71215907
892,86.78686487
891,86.92305867
890,87.06668313
889,87.25071609
888,87.46514088
887,87.68655339
886,87.89395358
885,88.09819288
884,88.26895803
883,88.47529106
882,88.63188788
881,88.77138587
880,88.90762315
879,89.04345442
878,89.18257341
877,89.29743823
876,89.37210766
875,89.46146381
874,89.52884876
873,89.62393335
872,89.67781126
871,89.74473923
870,89.7786354
869,89.83777763
868,89.88578177
867,89.89716582
866,89.9474799
865,89.98435334
864,90.01709636
863,90.04466776
862,90.05814558
861,90.07805497
860,90.10626747
859,90.12535741
858,90.12971546
857,90.12286719
856,90.16002013
855,90.17496865
854,90.13282848
853,90.16562553
852,90.12701759
851,90.17351521
850,90.14071529
849,90.12016952
848,90.13324356
847,90.14652707
846,90.11996202
845,90.13054559
844,90.10523009
843,90.12120708
842,90.08261816
841,90.05669403
840,90.06478155
839,90.05047334
838,90.04632646
837,90.05690139
836,90.02269288
835,90.00030889
834,89.99367767
833,89.99326323
832,89.99201994
831,89.96632904
830,89.94292355
829,89.96757198
828,89.94851546
827,89.97834484
826,89.97233674
825,89.98124544
824,89.97896639
823,89.98994782
822,89.99657877
821,89.97357976
820,90.0224856
819,90.03388696
818,90.04404576
817,90.01336554
816,90.0465338
815,90.05379099
814,90.07038104
813,90.07660309
812,90.08676671
811,90.09423459
810,90.08012912
809,90.10336283
808,90.11539694
807,90.13241341
806,90.14590436
805,90.15150889
804,90.15794414
803,90.15067856
802,90.17891381
801,90.18618167
800,90.19012732
799,90.20944274
798,90.19656533
797,90.20944274
796,90.21795945
795,90.2102736
794,90.21712852
793,90.22585371
792,90.21193535
791,90.22523045
790,90.2204523
789,90.20923502
788,90.20404231
787,90.21962134
786,90.18908897
785,90.1917887
784,90.17102366
783,90.16811694
782,90.15981253
781,90.16126574
780,90.13946996
779,90.11871697
778,90.10025083
777,90.11083209
